ENTITY_CD,ENTITY_NAME,YEAR,COMMON_BRANCH,GRADE_8_MATH,GRADE_8_ENGLISH,GRADE_8_SCI,GRADE_8_SS,GRADE_10_ENGLISH,GRADE_10_MATH,GRADE_10_SCI,GRADE_10_SS
000002000000,ALLEGANY County,2015,17,16,18,18,18,18,15,15,18
000003000000,BROOME County,2015,20,20,21,20,20,20,19,20,21
000004000000,CATTARAUGUS County,2015,19,17,17,17,18,17,16,17,18
000005000000,CAYUGA County,2015,19,18,19,19,19,20,17,18,20
000006000000,CHAUTAUQUA County,2015,19,19,18,19,20,18,14,18,20
000007000000,CHEMUNG County,2015,22,23,23,24,23,25,26,19,25
000008000000,CHENANGO County,2015,18,20,18,19,18,17,19,18,18
000000000003,High Need/Resource Urban-Suburban Districts,2014,23,22,21,22,22,23,22,22,24
000000000004,High Need/Resource Rural Districts,2014,19,18,18,19,19,19,17,18,19
000000000005,Average Need Districts,2014,21,21,22,22,22,22,21,21,22
000000000006,Low Need Districts,2014,22,23,23,23,24,23,22,22,23
000000000007,Charter Schools,2014,25,24,23,25,24,23,23,22,22
000001000000,ALBANY County,2014,22,23,23,24,23,22,20,21,22
000002000000,ALLEGANY County,2014,18,16,17,17,17,18,13,16,17
000003000000,BROOME County,2014,20,20,21,21,21,21,20,20,22
000009000000,CLINTON County,2015,19,19,18,19,18,18,18,18,20
000010000000,COLUMBIA County,2015,22,18,20,18,21,18,15,18,19
000011000000,CORTLAND County,2015,19,17,17,17,18,20,12,16,20
000012000000,DELAWARE County,2015,17,13,15,15,17,17,12,18,21
000013000000,DUTCHESS County,2015,22,21,21,22,22,23,21,21,22
000014000000,ERIE County,2015,22,22,22,23,23,22,20,21,23
000015000000,ESSEX County,2015,16,15,15,15,16,15,12,18,14
000004000000,CATTARAUGUS County,2014,19,16,17,17,17,18,16,18,19
000005000000,CAYUGA County,2014,20,20,21,20,21,20,18,18,19
000006000000,CHAUTAUQUA County,2014,19,18,19,19,19,18,17,19,20
000007000000,CHEMUNG County,2014,23,19,20,21,20,21,26,20,23
000008000000,CHENANGO County,2014,18,18,17,17,18,19,16,18,18
000009000000,CLINTON County,2014,19,19,19,18,19,20,16,18,20
000010000000,COLUMBIA County,2014,21,19,20,20,22,18,16,18,19
000016000000,FRANKLIN County,2015,18,16,18,19,17,18,19,17,17
000017000000,FULTON County,2015,20,20,19,18,20,19,20,18,22
000018000000,GENESEE County,2015,19,18,19,19,19,19,15,18,19
000019000000,GREENE County,2015,18,20,18,19,19,17,17,17,20
000020000000,HAMILTON County,2015,8,6,10,11,11,9,4,8,7
000021000000,HERKIMER County,2015,19,17,18,18,18,20,16,18,18
000022000000,JEFFERSON County,2015,20,17,17,19,18,19,19,19,19
000023000000,LEWIS County,2015,18,17,18,20,21,18,15,19,18
000011000000,CORTLAND County,2014,20,17,17,18,18,19,12,18,21
000012000000,DELAWARE County,2014,17,15,16,16,17,17,15,15,17
000013000000,DUTCHESS County,2014,22,22,22,23,22,24,23,24,23
000014000000,ERIE County,2014,22,22,22,23,23,22,21,21,23
000015000000,ESSEX County,2014,16,13,15,16,16,14,10,19,16
000016000000,FRANKLIN County,2014,18,16,18,17,18,18,16,14,20
000017000000,FULTON County,2014,20,19,18,20,20,20,19,28,20
000024000000,LIVINGSTON County,2015,19,16,18,18,20,19,14,17,19
000025000000,MADISON County,2015,19,19,19,18,21,20,17,20,20
000026000000,MONROE County,2015,21,21,22,22,22,21,20,21,21
000027000000,MONTGOMERY County,2015,21,18,19,19,20,19,17,17,21
000028000000,NASSAU County,2015,22,22,22,22,23,23,21,22,23
000030000000,NYC Public Schools,2015,15,12,12,12,12,,,,
000031000000,NEW YORK County,2015,24,26,25,27,26,19,17,19,20
000032000000,BRONX County,2015,25,27,27,27,27,19,22,20,22
000018000000,GENESEE County,2014,20,19,19,20,20,18,17,18,18
000019000000,GREENE County,2014,19,14,18,17,19,18,15,20,19
000020000000,HAMILTON County,2014,9,6,7,8,8,8,,8,5
000021000000,HERKIMER County,2014,20,19,19,20,20,20,17,20,20
000022000000,JEFFERSON County,2014,20,19,19,21,19,20,18,20,20
000023000000,LEWIS County,2014,18,17,19,18,19,17,16,18,17
000024000000,LIVINGSTON County,2014,19,19,19,19,20,19,17,18,18
000025000000,MADISON County,2014,19,19,22,22,22,22,19,19,19
000033000000,KINGS County,2015,25,27,26,27,28,23,22,22,22
000034000000,QUEENS County,2015,26,29,30,30,30,27,16,27,23
000035000000,RICHMOND County,2015,26,30,28,29,31,4,27,,
000040000000,NIAGARA County,2015,21,21,21,21,22,22,19,22,22
000041000000,ONEIDA County,2015,21,20,21,20,21,21,19,18,22
000042000000,ONONDAGA County,2015,21,21,21,21,22,22,21,22,23
000043000000,ONTARIO County,2015,20,18,20,21,20,20,15,20,20
000026000000,MONROE County,2014,21,22,22,22,22,21,21,21,22
000027000000,MONTGOMERY County,2014,23,19,20,19,19,21,19,18,21
000028000000,NASSAU County,2014,22,23,23,23,24,23,22,22,23
000030000000,NYC Public Schools,2014,12,5,,,12,,,,
000031000000,NEW YORK County,2014,24,26,26,26,26,22,27,21,19
000032000000,BRONX County,2014,26,27,27,27,26,23,21,24,26
000033000000,KINGS County,2014,26,26,27,27,27,27,23,25,25
000034000000,QUEENS County,2014,27,28,29,28,29,25,21,17,20
000035000000,RICHMOND County,2014,26,29,29,30,30,,,,14
000044000000,ORANGE County,2015,22,21,21,23,23,23,22,23,23
000045000000,ORLEANS County,2015,20,16,17,18,18,19,17,22,16
000046000000,OSWEGO County,2015,20,18,19,19,19,20,20,21,19
000047000000,OTSEGO County,2015,18,19,22,18,20,19,14,19,17
000048000000,PUTNAM County,2015,22,22,23,24,24,21,22,20,23
000049000000,RENSSELAER County,2015,21,20,20,21,21,20,20,21,20
000050000000,ROCKLAND County,2015,22,22,23,23,23,23,21,23,22
000040000000,NIAGARA County,2014,21,20,22,22,22,22,20,22,22
000041000000,ONEIDA County,2014,21,20,19,21,20,22,19,19,19
000042000000,ONONDAGA County,2014,22,22,21,22,22,23,21,22,23
000043000000,ONTARIO County,2014,21,20,21,21,20,20,17,19,20
000044000000,ORANGE County,2014,23,22,23,24,23,24,23,24,25
000045000000,ORLEANS County,2014,21,20,18,20,20,19,18,22,20
000046000000,OSWEGO County,2014,20,20,20,20,21,20,19,19,19
000051000000,ST. LAWRENCE County,2015,19,18,18,19,19,19,16,18,17
000052000000,SARATOGA County,2015,21,23,22,24,24,23,22,22,24
000053000000,SCHENECTADY County,2015,23,22,22,22,22,24,24,23,24
000054000000,SCHOHARIE County,2015,19,18,20,20,19,20,13,14,20
000055000000,SCHUYLER County,2015,19,20,20,21,19,18,19,21,20
000056000000,SENECA County,2015,17,18,18,20,18,17,13,18,19
000057000000,STEUBEN County,2015,19,17,19,20,19,18,16,20,20
000058000000,SUFFOLK County,2015,23,24,24,24,24,24,23,23,24
000047000000,OTSEGO County,2014,18,15,19,18,18,18,16,19,19
000048000000,PUTNAM County,2014,23,23,22,23,24,23,24,22,24
000049000000,RENSSELAER County,2014,21,20,22,22,22,23,20,22,21
000050000000,ROCKLAND County,2014,22,23,23,24,24,23,22,23,22
000051000000,ST. LAWRENCE County,2014,20,18,19,19,20,18,17,17,19
000052000000,SARATOGA County,2014,22,22,23,23,23,23,23,23,24
000053000000,SCHENECTADY County,2014,22,21,21,22,22,24,21,21,24
000054000000,SCHOHARIE County,2014,20,18,18,18,17,20,12,19,19
000059000000,SULLIVAN County,2015,20,19,19,19,19,18,16,18,20
000060000000,TIOGA County,2015,20,20,19,20,21,20,18,18,19
000061000000,TOMPKINS County,2015,19,18,18,20,20,20,18,20,20
000062000000,ULSTER County,2015,22,21,21,21,23,20,17,19,22
000063000000,WARREN County,2015,19,17,19,19,20,20,18,19,19
000064000000,WASHINGTON County,2015,19,21,21,22,20,17,16,20,19
000065000000,WAYNE County,2015,20,19,19,19,19,19,16,18,19
000055000000,SCHUYLER County,2014,22,22,22,23,21,19,20,26,20
000056000000,SENECA County,2014,19,17,17,18,19,17,14,15,17
000057000000,STEUBEN County,2014,19,17,18,19,19,19,16,18,19
000058000000,SUFFOLK County,2014,23,24,24,24,25,25,24,23,24
000059000000,SULLIVAN County,2014,21,20,19,22,20,20,17,15,21
000060000000,TIOGA County,2014,20,19,20,20,21,18,18,19,19
000061000000,TOMPKINS County,2014,18,19,19,20,19,19,17,18,19
000062000000,ULSTER County,2014,22,22,22,22,23,22,20,21,20
000066000000,WESTCHESTER County,2015,22,21,21,22,22,22,21,22,22
000067000000,WYOMING County,2015,17,17,18,16,18,18,16,16,18
000068000000,YATES County,2015,19,21,22,22,20,21,19,15,17
010100010000,ALBANY CITY SCHOOL DISTRICT,2015,22,22,21,24,23,26,21,24,23
010100010014,MONTESSORI MAGNET SCHOOL,2015,22,,,,,,,,
010100010016,PINE HILLS ELEMENTARY SCHOOL,2015,24,,,,,,,,
010100010018,DELAWARE COMMUNITY SCHOOL,2015,22,,,,,,,,
000063000000,WARREN County,2014,19,17,19,20,20,18,17,19,17
000064000000,WASHINGTON County,2014,19,18,20,19,21,19,17,19,17
000065000000,WAYNE County,2014,20,18,18,18,18,19,17,17,19
000066000000,WESTCHESTER County,2014,22,23,23,23,23,23,20,22,22
000067000000,WYOMING County,2014,16,17,17,16,19,18,18,15,20
000068000000,YATES County,2014,21,30,17,19,19,20,21,21,20
010100010000,ALBANY CITY SCHOOL DISTRICT,2014,22,22,21,23,23,22,20,24,22
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2015,24,,,,,,,,
010100010020,NORTH ALBANY ACADEMY,2015,20,25,16,24,16,,,,
010100010023,ALBANY SCHOOL OF HUMANITIES,2015,22,,,,,,,,
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2015,20,,,,,,,,
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2015,23,,,,,,,,
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2015,21,,,,,,,,
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2015,27,24,22,24,24,,,,
010100010014,MONTESSORI MAGNET SCHOOL,2014,23,,,,,,,,
010100010016,PINE HILLS ELEMENTARY SCHOOL,2014,22,,,,,,,,
010100010018,DELAWARE COMMUNITY SCHOOL,2014,24,,,,,,,,
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2014,23,,,,,,,,
010100010020,NORTH ALBANY ACADEMY,2014,21,19,19,18,19,,,,
010100010023,ALBANY SCHOOL OF HUMANITIES,2014,21,,,,,,,,
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2014,23,,,,,,,,
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2014,21,,,,,,,,
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2014,21,,,,,,,,
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2014,,25,24,25,25,,,,
010100010034,ALBANY HIGH SCHOOL,2014,,6,6,11,6,22,25,25,22
010100010034,ALBANY HIGH SCHOOL,2015,,6,7,,,26,21,24,23
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2015,20,,,,,,,,
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2015,16,,,,,,,,
010100010044,SHERIDAN PREPARATORY ACADEMY,2015,20,,,,,,,,
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2015,26,25,24,25,25,,,,
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2015,21,,,,,,,,
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2015,20,,,,,,,,
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2014,20,,,,,,,,
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2014,24,,,,,,1,,
010100010044,SHERIDAN PREPARATORY ACADEMY,2014,21,,,,,,,,
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2014,15,24,25,25,25,,,,
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2014,20,,,,,,,,
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2014,21,,,,,,,,
010100860892,HENRY JOHNSON CHARTER SCHOOL,2015,26,,,,,,,,
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2015,24,,22,22,22,,,,
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2015,,,,,,23,,,24
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2015,,,,,,18,22,26,18
010100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,2015,,14,14,14,14,,,,
010100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,2015,,14,14,,14,,,,
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2015,19,17,17,16,19,14,13,15,9
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2015,,17,17,16,19,14,13,15,9
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2015,19,,,,,,,,
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2014,,,26,,5,,,,
010100860892,HENRY JOHNSON CHARTER SCHOOL,2014,26,,,,,,,,
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2014,24,,,,,,,,
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2014,,,,,,,,34,
010100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,2014,,21,20,20,21,,,,
010100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,2014,,19,19,20,20,,,,
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2014,20,19,24,20,24,17,9,21,15
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2015,22,23,23,23,23,24,21,22,21
010306060003,ELSMERE ELEMENTARY SCHOOL,2015,22,,,,,,,,
010306060004,GLENMONT ELEMENTARY SCHOOL,2015,22,,,,,,,,
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2015,22,,,,,,,,
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2015,22,,,,,,,,
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2015,,22,23,23,23,,,,
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2015,,,,,,24,20,21,21
010306060009,EAGLE ELEMENTARY SCHOOL,2015,23,,,,,,,,
010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2015,18,23,20,20,23,23,22,18,21
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2014,,19,24,20,24,17,9,21,15
010500010000,COHOES CITY SCHOOL DISTRICT,2014,21,21,25,26,26,19,,28,15
010500010005,ABRAM LANSING SCHOOL,2014,21,,,,,,,,
010500010006,VAN SCHAICK ISLAND SCHOOL,2014,21,,,,,,,,
010500010007,COHOES HIGH SCHOOL,2014,,21,,,,19,,28,15
010500010007,COHOES HIGH SCHOOL,2015,,,,,,27,,18,18
010500010008,COHOES MIDDLE SCHOOL,2015,,22,27,27,28,,,,
010500010009,HARMONY HILL SCHOOL,2015,21,,,,,,,,
010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2015,21,22,22,23,23,24,25,20,23
010601060003,ROESSLEVILLE SCHOOL,2015,23,,,,,,,,
010601060005,SADDLEWOOD ELEMENTARY SCHOOL,2015,20,,,,,,,,
010601060006,SHAKER ROAD ELEMENTARY SCHOOL,2015,21,,,,,,,,
010601060008,COLONIE CENTRAL HIGH SCHOOL,2015,,,,,,24,25,20,23
010500010008,COHOES MIDDLE SCHOOL,2014,22,21,25,26,26,,,,
010500010009,HARMONY HILL SCHOOL,2014,21,,,,,,,,
010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2014,22,25,24,24,23,25,26,22,25
010601060003,ROESSLEVILLE SCHOOL,2014,22,,,,,,,,
010601060005,SADDLEWOOD ELEMENTARY SCHOOL,2014,20,,,,,,,,
010601060006,SHAKER ROAD ELEMENTARY SCHOOL,2014,21,,,,,,,,
010601060008,COLONIE CENTRAL HIGH SCHOOL,2014,,,24,,,25,26,22,25
010601060010,FOREST PARK ELEMENTARY SCHOOL,2015,19,,,,,,,,
010601060011,VEEDER ELEMENTARY SCHOOL,2015,21,,,,,,,,
010601060012,SAND CREEK MIDDLE SCHOOL,2015,22,23,27,22,24,,,,
010601060013,LISHA KILL MIDDLE SCHOOL,2015,24,22,22,24,22,,,,
010615020000,MENANDS UNION FREE SCHOOL DISTRICT,2015,21,16,16,16,32,,,,
010615020001,MENANDS SCHOOL,2015,21,16,16,16,32,,,,
010623060000,NORTH COLONIE CSD,2015,22,21,21,22,21,24,19,19,22
010623060002,BLUE CREEK SCHOOL,2015,23,,,,,,,,
010623060003,BOGHT HILLS SCHOOL,2015,25,,,,,,,,
010623060004,FORTS FERRY SCHOOL,2015,19,,,,,,,,
010601060010,FOREST PARK ELEMENTARY SCHOOL,2014,20,,,,,,,,
010601060011,VEEDER ELEMENTARY SCHOOL,2014,22,,,,,,,,
010601060012,SAND CREEK MIDDLE SCHOOL,2014,22,32,23,24,22,,,,
010601060013,LISHA KILL MIDDLE SCHOOL,2014,24,23,24,24,24,,,,
010615020000,MENANDS UNION FREE SCHOOL DISTRICT,2014,18,13,25,13,25,,,,
010615020001,MENANDS SCHOOL,2014,18,13,25,13,25,,,,
010623060000,NORTH COLONIE CSD,2014,22,24,22,23,23,23,18,19,23
010623060006,LATHAM RIDGE SCHOOL,2015,22,,,,,,,,
010623060007,LOUDONVILLE SCHOOL,2015,23,,,,,,,,
010623060008,SOUTHGATE SCHOOL,2015,21,,,,,,,,
010623060009,SHAKER JUNIOR HIGH SCHOOL,2015,,22,21,22,21,,,,
010623060010,SHAKER HIGH SCHOOL,2015,,,,,,24,19,19,22
010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,2015,26,25,26,25,27,20,16,24,22
010701030001,HEATLY SCHOOL,2015,28,25,26,25,27,20,16,24,22
010802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT,2015,22,25,24,24,24,21,25,19,22
010802060001,ALTAMONT ELEMENTARY SCHOOL,2015,22,,,,,,,,
010623060002,BLUE CREEK SCHOOL,2014,24,,,,,,,,
010623060003,BOGHT HILLS SCHOOL,2014,22,,,,,,,,
010623060004,FORTS FERRY SCHOOL,2014,22,,,,,,,,
010623060006,LATHAM RIDGE SCHOOL,2014,20,,,,,,,,
010623060007,LOUDONVILLE SCHOOL,2014,22,,,,,,,,
010623060008,SOUTHGATE SCHOOL,2014,22,,,,,,,,
010623060009,SHAKER JUNIOR HIGH SCHOOL,2014,,24,22,23,23,,,,
010623060010,SHAKER HIGH SCHOOL,2014,,,,,,23,18,19,23
010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,2014,21,17,11,22,22,29,,,14
010701030001,HEATLY SCHOOL,2014,21,17,11,22,22,29,,,14
010802060003,GUILDERLAND ELEMENTARY SCHOOL,2015,21,,,,,,,,
010802060004,WESTMERE ELEMENTARY SCHOOL,2015,19,,,,,,,,
010802060005,GUILDERLAND HIGH SCHOOL,2015,,,,,,21,25,19,22
010802060007,LYNNWOOD ELEMENTARY SCHOOL,2015,21,,,,,,,,
010802060008,FARNSWORTH MIDDLE SCHOOL,2015,25,25,24,24,24,,,,
010802060009,PINE BUSH ELEMENTARY SCHOOL,2015,22,,,,,,,,
011003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,2015,23,19,24,22,24,19,23,21,25
011003060001,VOORHEESVILLE ELEMENTARY SCHOOL,2015,23,,,,,,,,
010802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT,2014,21,28,28,29,26,24,24,20,22
010802060001,ALTAMONT ELEMENTARY SCHOOL,2014,19,,,,,,,,
010802060003,GUILDERLAND ELEMENTARY SCHOOL,2014,21,,,,,,,,
010802060004,WESTMERE ELEMENTARY SCHOOL,2014,19,,,,,,,,
010802060005,GUILDERLAND HIGH SCHOOL,2014,,,,,,24,24,20,22
010802060007,LYNNWOOD ELEMENTARY SCHOOL,2014,21,,,,,,,,
010802060008,FARNSWORTH MIDDLE SCHOOL,2014,26,28,28,29,26,22,,,
010802060009,PINE BUSH ELEMENTARY SCHOOL,2014,21,,,,,,,,
011003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,2014,21,17,20,22,25,19,20,19,26
011003060001,VOORHEESVILLE ELEMENTARY SCHOOL,2014,21,,,,,,,,
011003060002,CLAYTON A BOUTON HIGH SCHOOL,2015,,,,,,19,23,21,25
011003060003,VOORHEESVILLE MIDDLE SCHOOL,2015,,19,24,22,,,,,
011200010000,WATERVLIET CITY SCHOOL DISTRICT,2015,22,24,23,23,23,18,,23,20
011200010002,WATERVLIET ELEMENTARY SCHOOL,2015,22,,,,,,,,
011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,2015,,24,23,23,23,18,,23,20
020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,2015,17,17,18,17,18,15,8,18,22
020101040001,ALFRED-ALMOND ELEMENTARY SCHOOL,2015,17,,,,,,,,
011003060002,CLAYTON A BOUTON HIGH SCHOOL,2014,,,,,,19,20,18,26
011003060003,VOORHEESVILLE MIDDLE SCHOOL,2014,,17,20,22,25,,,21,
011200010000,WATERVLIET CITY SCHOOL DISTRICT,2014,22,24,21,23,21,21,,19,25
011200010002,WATERVLIET ELEMENTARY SCHOOL,2014,22,,,,,,,,
011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,2014,,24,21,23,21,21,,19,25
020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,2014,18,14,18,19,18,18,9,17,18
020101040001,ALFRED-ALMOND ELEMENTARY SCHOOL,2014,18,,,,,,,,
020101040002,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,2015,,17,18,17,18,15,8,18,22
020601040000,ANDOVER CENTRAL SCHOOL DISTRICT,2015,22,20,24,12,24,29,6,29,29
020601040001,ANDOVER SCHOOL,2015,22,20,24,12,24,29,6,29,29
020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,2015,19,11,14,14,,15,17,,12
020702040001,GENESEE VALLEY CENTRAL SCHOOL,2015,19,11,14,14,,15,17,,12
020801040000,BELFAST CENTRAL SCHOOL DISTRICT,2015,19,19,20,19,19,25,25,28,14
020801040001,BELFAST SCHOOL,2015,19,19,20,19,19,25,25,28,14
021102040000,CANASERAGA CENTRAL SCHOOL DISTRICT,2015,16,13,13,13,13,11,6,12,11
020101040002,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,2014,,14,18,19,18,18,9,17,18
020601040000,ANDOVER CENTRAL SCHOOL DISTRICT,2014,21,14,14,14,14,24,12,,24
020601040001,ANDOVER SCHOOL,2014,21,14,14,14,14,24,12,,24
020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,2014,21,32,15,16,14,18,22,,12
020702040001,GENESEE VALLEY CENTRAL SCHOOL,2014,21,32,15,16,14,18,22,,12
020801040000,BELFAST CENTRAL SCHOOL DISTRICT,2014,17,26,26,13,13,22,14,23,12
020801040001,BELFAST SCHOOL,2014,17,26,26,13,13,22,14,23,12
021102040001,CANASERAGA SCHOOL,2015,16,13,13,13,13,11,6,12,11
021601040000,FRIENDSHIP CENTRAL SCHOOL DISTRICT,2015,14,31,31,31,31,23,14,12,24
021601040004,FRIENDSHIP CENTRAL SCHOOL,2015,14,31,31,31,31,23,14,12,24
022001040000,FILLMORE CENTRAL SCHOOL DISTRICT,2015,16,10,,25,,17,20,9,
022001040001,FILLMORE CENTRAL SCHOOL,2015,16,10,,25,,17,20,9,
022101040000,WHITESVILLE CENTRAL SCHOOL DISTRICT,2015,15,20,19,19,10,27,16,,26
022101040001,WHITESVILLE CENTRAL SCHOOL,2015,15,20,19,19,10,27,,,26
021102040000,CANASERAGA CENTRAL SCHOOL DISTRICT,2014,15,20,21,21,,17,9,,18
021102040001,CANASERAGA SCHOOL,2014,15,20,21,21,,17,9,,18
021601040000,FRIENDSHIP CENTRAL SCHOOL DISTRICT,2014,14,22,11,11,21,,16,15,30
021601040004,FRIENDSHIP CENTRAL SCHOOL,2014,15,22,11,11,21,,16,15,30
022001040000,FILLMORE CENTRAL SCHOOL DISTRICT,2014,17,11,16,16,16,13,15,11,13
022001040001,FILLMORE CENTRAL SCHOOL,2014,17,11,16,16,16,13,15,11,13
022101040000,WHITESVILLE CENTRAL SCHOOL DISTRICT,2014,18,,12,12,12,,20,25,27
022101040001,WHITESVILLE CENTRAL SCHOOL,2014,18,,12,12,12,,20,25,27
022302040000,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,2014,19,14,17,18,18,16,10,14,22
