ENTITY_CD,SCHOOL_NAME,YEAR,DISTRICT_CD,DISTRICT_NAME,CSO_NAME,STREET,CITY,PHONE,GRADE_RANGE,NUM_TEACH,NUM_NO_VALID_CERT,PER_NO_VALID_CERT,NUM_TEACH_OUT_CERT,PER_TEACH_OUT_CERT,NUM_FEWER_3YRS_EXP,PER_FEWER_3YRS_EXP,NUM_MAS_PLUS,PER_MAS_PLUS,NUM_CORE,PER_NOT_HQ,NUM_CLASS,NUM_NO_APPROP_CERT,PER_NO_APPROP_CERT,PER_TURN_FIVE_YRS,PER_TURN_ALL,NUM_FT_OTH_PROF_STAFF,NUM_PT_OTH_PROF_STAFF,NUM_FT_PARAPROFESSIONALS,NUM_PT_PARAPROFESSIONALS,NUM_FT_ASST_PRINCIPALS,NUM_PT_ASST_PRINCIPALS,NUM_FT_PRINCIPALS,NUM_PT_PRINCIPALS
010100010018,DELAWARE COMMUNITY SCHOOL,2014,01010001,ALBANY CITY SD,VACANT VACANT,43 BERTHA ST,ALBANY,5184756750,PK-5,33,0,0,3,9,2,6,6,18,35,9,50,3,6,50,9,2,4,0,0,0,0,1,0
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2014,01010001,ALBANY CITY SD,DAVID AMODEO,369 NEW SCOTLAND AVE,ALBANY,5184756775,"K-5, UE",37,0,0,0,0,1,3,4,11,37,0,54,1,2,0,8,3,0,0,0,0,0,1,0
010100010016,PINE HILLS ELEMENTARY SCHOOL,2015,01010001,ALBANY CITY SD,VIBETTA SANDERS,41 N ALLEN ST,ALBANY,5184756725,K-7,28,0,0,0,0,5,18,3,11,25,0,44,0,0,,,3,0,0,0,0,0,1,0
010100010018,DELAWARE COMMUNITY SCHOOL,2015,01010001,ALBANY CITY SD,REBECCA GLEASON,43 BERTHA ST,ALBANY,5184756750,K-5,27,0,0,1,4,3,11,6,22,27,4,41,1,2,,,1,3,0,0,0,0,1,0
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2015,01010001,ALBANY CITY SD,DAVID AMODEO,369 NEW SCOTLAND AVE,ALBANY,5184756775,"K-5, UE",34,0,0,0,0,0,0,5,15,29,0,45,1,2,,,6,0,0,0,0,0,1,0
010100010020,NORTH ALBANY ACADEMY,2014,01010001,ALBANY CITY SD,LESLEY BUFF,570 N PEARL ST,ALBANY,5184756800,"K-8, UE, US",30,0,0,0,0,0,0,3,10,71,0,97,1,1,0,20,4,0,0,0,0,0,1,0
010100010023,ALBANY SCHOOL OF HUMANITIES,2014,01010001,ALBANY CITY SD,C FRED ENGELHARDT,108 WHITEHALL RD,ALBANY,5184627258,"K-6, UE",32,0,0,0,0,0,0,4,13,35,0,46,0,0,0,15,0,0,0,0,0,0,1,0
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2014,01010001,ALBANY CITY SD,KENDRA CHAIRES,1044 WESTERN AVE,ALBANY,5184756825,K-6,21,0,0,0,0,3,14,4,19,22,0,29,0,0,33,23,0,5,0,0,0,0,1,0
010100010020,NORTH ALBANY ACADEMY,2015,01010001,ALBANY CITY SD,LESLEY BUFF,570 N PEARL ST,ALBANY,5184756800,"K-8, UE, US",31,0,0,2,6,6,19,3,10,49,14,84,12,14,,,7,0,0,0,0,0,1,0
010100010023,ALBANY SCHOOL OF HUMANITIES,2015,01010001,ALBANY CITY SD,C FRED ENGELHARDT,108 WHITEHALL RD,ALBANY,5184627258,"K-6, UE",29,0,0,0,0,0,0,3,10,32,0,44,0,0,,,3,0,0,0,0,0,1,0
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2014,01010001,ALBANY CITY SD,SHELLETTE PLEAT,94 DELAWARE AVE,ALBANY,5184756875,"K-5, UE",32,0,0,1,3,2,6,1,3,62,0,84,2,2,,18,12,0,0,0,0,0,1,0
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2014,01010001,ALBANY CITY SD,JASMINE BROWN,274 S PEARL ST,ALBANY,5184756650,K-6,36,0,0,0,0,0,0,9,25,34,0,47,0,0,,11,3,0,0,0,0,0,1,0
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2015,01010001,ALBANY CITY SD,KENDRA CHAIRES,1044 WESTERN AVE,ALBANY,5184756825,K-6,20,0,0,0,0,1,5,3,15,19,0,35,0,0,,,2,3,0,0,0,0,1,0
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2015,01010001,ALBANY CITY SD,SHELLETTE PLEAT,94 DELAWARE AVE,ALBANY,5184756875,"K-6, UE",30,0,0,0,0,1,3,1,3,45,0,60,0,0,,,33,0,0,0,0,0,1,0
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2015,01010001,ALBANY CITY SD,JASMINE BROWN,274 S PEARL ST,ALBANY,5184756650,K-6,35,0,0,0,0,1,3,6,17,29,0,46,0,0,,,4,2,0,0,0,0,1,0
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2014,01010001,ALBANY CITY SD,MICHAEL PAOLINO,45 DELAWARE AVE,ALBANY,5184756475,"6-8, US",58,0,0,0,0,5,9,12,21,171,0,296,0,0,29,23,38,0,0,0,2,0,1,0
010100010034,ALBANY HIGH SCHOOL,2014,01010001,ALBANY CITY SD,CECILY WILSON,700 WASHINGTON AVE,ALBANY,5184756200,"9-12, US",160,0,0,1,1,6,4,29,18,513,0,754,11,1,29,13,52,0,0,0,4,0,3,0
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2014,01010001,ALBANY CITY SD,ROSALIND GAINES-HARRELL,1 ARBOR DR,ALBANY,5184756625,K-6,24,0,0,0,0,1,4,0,0,31,0,38,0,0,0,25,21,0,0,0,0,0,1,0
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2015,01010001,ALBANY CITY SD,MICHAEL PAOLINO,45 DELAWARE AVE,ALBANY,5184756475,6-8,52,0,0,0,0,3,6,11,21,135,0,243,1,0,,,33,0,0,0,2,0,1,0
010100010034,ALBANY HIGH SCHOOL,2015,01010001,ALBANY CITY SD,CECILY WILSON,700 WASHINGTON AVE,ALBANY,5184756200,"9-12, US",161,1,1,4,2,11,7,30,19,550,2,775,14,2,,,33,1,0,0,5,0,2,0
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2014,01010001,ALBANY CITY SD,JALINDA SOTO,676 CLINTON AVE,ALBANY,5184756700,"K-5, UE",30,0,0,0,0,1,3,1,3,29,0,39,0,0,0,21,8,3,0,0,0,0,1,0
010100010044,SHERIDAN PREPARATORY ACADEMY,2014,01010001,ALBANY CITY SD,ZULEIKA SANCHEZ-GAYLE,400 SHERIDAN AVE,ALBANY,5184756850,"K-5, UE",27,0,0,0,0,3,11,1,4,29,0,41,0,0,33,19,9,0,0,0,0,0,1,0
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2015,01010001,ALBANY CITY SD,ROSALIND GAINES-HARRELL,1 ARBOR DR,ALBANY,5184756625,"K-6, UE",26,0,0,0,0,3,12,0,0,28,0,39,0,0,,,26,0,0,0,0,0,1,0
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2015,01010001,ALBANY CITY SD,JALINDA SOTO,676 CLINTON AVE,ALBANY,5184756700,K-5,26,0,0,0,0,1,4,3,12,17,0,33,0,0,,,8,0,0,0,0,0,1,0
010100010044,SHERIDAN PREPARATORY ACADEMY,2015,01010001,ALBANY CITY SD,ZULEIKA SANCHEZ-GAYLE,400 SHERIDAN AVE,ALBANY,5184756850,K-5,25,0,0,0,0,1,4,1,4,24,0,38,0,0,,,10,0,0,0,0,0,1,0
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2014,01010001,ALBANY CITY SD,KIMBERLY WILKINS,100 ELBEL CT,ALBANY,5184756425,"6-8, UE, US",61,0,0,1,2,2,3,4,7,176,0,274,7,3,0,8,10,0,0,0,1,0,1,0
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2014,,,KAREN MCLEAN,116 N LAKE AVE,ALBANY,5186948200,K-4,24,2,8,2,8,1,4,2,8,35,0,48,7,15,20,27,7,3,0,0,1,1,1,0
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2014,,,MARCUS PUCCIONI,250 CENTRAL AVE,ALBANY,5186944100,K-4,26,3,12,3,12,7,27,2,8,46,4,53,4,8,8,15,4,3,0,0,1,0,1,0
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2015,01010001,ALBANY CITY SD,KIMBERLY WILKINS,100 ELBEL CT,ALBANY,5184756425,"6-8, UE, US",56,0,0,1,2,3,5,5,9,133,0,268,8,3,,,7,2,0,0,1,0,1,0
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2015,,,KAREN MCLEAN,116 N LAKE AVE,ALBANY,5186948200,K-4,24,2,8,2,8,7,29,3,13,27,4,54,5,9,25,29,7,0,0,0,1,0,1,0
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2014,,,S NEAL CURRIE,65 KRANK ST,ALBANY,5184331500,K-7,36,5,14,6,17,6,17,4,11,56,12,69,13,19,0,17,6,0,0,0,0,0,1,0
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2014,,,PAUL MILLER,321 NORTHERN BLVD,ALBANY,5186943400,9-12,30,1,3,2,7,5,17,2,7,48,0,62,2,3,13,21,23,2,0,0,0,0,1,0
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2014,,,CHRISTINA ROBERTS,19 HACKETT BLVD,ALBANY,5186945300,9-12,35,4,11,4,11,14,40,2,6,65,5,79,9,11,43,41,11,0,0,0,1,0,2,0
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2015,,,S NEAL CURRIE,65 KRANK ST,ALBANY,5184331500,K-8,40,7,18,7,18,8,20,4,10,80,14,120,19,16,44,36,4,0,0,0,2,0,2,0
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2015,,,PAUL MILLER,321 NORTHERN BLVD,ALBANY,5186943400,9-12,29,1,3,1,3,4,14,3,10,70,3,92,2,2,29,30,13,0,0,0,0,0,1,0
010100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,2014,,,MARCUS PUCCIONI,395 ELK ST,ALBANY,5187036100,5-8,27,1,4,1,4,10,37,2,7,74,0,100,5,5,17,39,0,1,0,0,1,0,1,0
010100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,2014,,,MARCUS PUCCIONI,395 ELK ST,ALBANY,5186945550,5-8,25,1,4,1,4,7,28,1,4,74,11,97,6,6,10,21,2,1,0,0,0,0,1,0
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2015,,,CHRISTINA ROBERTS,19 HACKETT BLVD,ALBANY,5186945300,9-12,35,6,17,6,17,21,60,3,9,138,17,194,26,13,64,60,10,2,0,0,1,0,1,0
010100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,2015,,,DERICK BROWN,395 ELK ST,ALBANY,5187036100,5-8,25,1,4,1,4,11,44,4,16,54,7,77,4,5,38,41,8,0,0,0,1,0,1,0
010100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,2015,,,KIMBERLY ARRINGTON,395 ELK ST,ALBANY,5186945550,5-8,24,1,4,1,4,14,58,1,4,56,7,80,4,5,47,48,1,0,0,0,1,0,1,0
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2014,01020104,BERNE-KNOX-WESTERLO CSD,JOE NATALE,1738 HELDERBERG TRAIL,BERNE,5188721293,"PK-12, UE, US",71,0,0,1,1,4,6,13,18,176,0,258,4,2,14,10,9,0,18,0,0,0,2,0
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2014,01020104,BERNE-KNOX-WESTERLO CSD,BRIAN COREY,1738 HELDERBERG TRAIL,BERNE,5188721482,"7-12, US",38,0,0,1,3,2,5,8,21,121,0,178,4,2,0,8,5,0,0,0,0,0,1,0
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2014,01020104,BERNE-KNOX-WESTERLO CSD,AUDREY ROETTGERS,1738 HELDERBERG TRAIL,BERNE,5188722030,"K-6, UE",31,0,0,0,0,2,6,5,16,50,0,70,0,0,17,14,3,0,0,0,0,0,1,0
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2015,01020104,BERNE-KNOX-WESTERLO CSD,JOSEPH NATALE,1738 HELDERBERG TRAIL,BERNE,5188721293,"PK-12, UE, US",77,1,1,3,4,6,8,16,21,184,7,282,15,5,17,17,8,0,19,5,0,0,2,0
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2015,01020104,BERNE-KNOX-WESTERLO CSD,MARY SUMMERMATTER,1738 HELDERBERG TRAIL,BERNE,5188721482,"7-12, UE, US",40,1,3,3,8,3,8,10,25,123,10,184,15,8,,,5,0,0,0,0,0,1,0
010306060004,GLENMONT ELEMENTARY SCHOOL,2014,01030606,BETHLEHEM CSD,LAURA HEFFERNAN,328 RT 9W,GLENMONT,5184631154,K-5,24,0,0,0,0,1,4,2,8,27,0,46,0,0,0,0,1,0,0,0,0,0,1,0
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2014,01030606,BETHLEHEM CSD,DAVID KSANZNAK,1 MCGUFFEY LN,DELMAR,5184394905,K-5,22,0,0,0,0,0,0,0,0,26,0,40,0,0,,4,3,1,0,0,0,0,1,0
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2014,01030606,BETHLEHEM CSD,HEIDI BONACQUIST,25 UNION AVE,DELMAR,5184397681,K-5,31,0,0,0,0,0,0,2,6,35,0,53,0,0,,3,2,0,0,0,0,0,1,0
010306060004,GLENMONT ELEMENTARY SCHOOL,2015,01030606,BETHLEHEM CSD,LAURA HEFFERNAN,328 RT 9W,GLENMONT,5184631154,"K-5, UE",20,0,0,0,0,1,5,0,0,27,0,37,1,3,,,1,0,0,0,0,0,1,0
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2015,01030606,BETHLEHEM CSD,DAVID KSANZNAK,1 MCGUFFEY LN,DELMAR,5184394905,K-5,21,0,0,0,0,1,5,0,0,38,0,50,1,2,,,3,0,0,0,0,0,1,0
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2014,01030606,BETHLEHEM CSD,MICHAEL KLUGMAN,332 KENWOOD AVE,DELMAR,5184397460,"6-8, UE, US",84,0,0,0,0,1,1,13,15,263,0,388,2,1,25,10,11,0,0,0,1,0,1,0
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2014,01030606,BETHLEHEM CSD,SCOTT LANDRY,700 DELAWARE AVE,DELMAR,5184394921,"9-12, US",110,0,0,0,0,2,2,20,18,385,0,472,2,0,0,11,16,1,0,0,1,0,1,0
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2015,01030606,BETHLEHEM CSD,HEIDI BONACQUIST,25 UNION AVE,DELMAR,5184397681,K-5,28,0,0,0,0,0,0,1,4,28,0,41,0,0,,,3,0,0,0,0,0,1,0
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2015,01030606,BETHLEHEM CSD,MICHAEL KLUGMAN,332 KENWOOD AVE,DELMAR,5184397460,"6-8, UE, US",76,0,0,1,1,3,4,13,17,226,1,338,5,1,,,10,0,0,0,1,0,1,0
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2015,01030606,BETHLEHEM CSD,SCOTT LANDRY,700 DELAWARE AVE,DELMAR,5184394921,"9-12, US",92,0,0,0,0,1,1,15,16,322,0,391,3,1,,,28,0,0,0,1,0,1,0
010306060009,EAGLE ELEMENTARY SCHOOL,2014,01030606,BETHLEHEM CSD,DIANNA REAGAN,27 VAN DYKE RD,DELMAR,5186948825,K-5,26,0,0,0,0,0,0,4,15,37,0,49,0,0,,7,10,0,0,0,0,0,1,0
010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2014,01040206,RAVENA-COEYMANS-SELKIRK CSD,ALAN MCCARTNEY,15 MOUNTAIN RD,RAVENA,5187565200,"PK-12, UE, US",196,0,0,2,1,8,4,34,17,401,0,666,8,1,7,14,19,0,84,3,1,0,4,0
010306060009,EAGLE ELEMENTARY SCHOOL,2015,01030606,BETHLEHEM CSD,DIANNA REAGAN,27 VAN DYKE RD,DELMAR,5186948825,K-5,20,0,0,0,0,0,0,5,25,26,0,40,0,0,,,10,0,0,0,0,0,1,0
010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2015,01040206,RAVENA-COEYMANS-SELKIRK CSD,ALAN MCCARTNEY,15 MOUNTAIN RD,RAVENA,5187565200,"PK-12, UE, US",201,0,0,1,0,8,4,36,18,425,1,693,6,1,13,8,17,0,87,3,1,0,4,0
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2015,01040206,RAVENA-COEYMANS-SELKIRK CSD,THOMAS DIACETIS,2025 RT 9W,RAVENA,5187565200,"9-12, US",53,0,0,0,0,3,6,12,23,161,0,239,1,0,,,8,0,0,0,1,0,1,0
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2014,01030606,BETHLEHEM CSD,THOMAS DOUGLAS,700 DELAWARE AVE,DELMAR,5184397098,"K-12, UE, US",346,0,0,0,0,5,1,45,13,885,0,1214,4,0,20,10,65,2,38,81,2,0,7,0
010306060003,ELSMERE ELEMENTARY SCHOOL,2014,01030606,BETHLEHEM CSD,KATHERINE KLOSS,247 DELAWARE AVE,DELMAR,5184394996,"K-5, UE",17,0,0,0,0,0,0,2,12,14,0,31,0,0,,6,2,0,0,0,0,0,1,0
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2015,01020104,BERNE-KNOX-WESTERLO CSD,AUDREY ROETTGERS,1738 HELDERBERG TRAIL,BERNE,5188722030,"K-6, UE",33,0,0,0,0,3,9,5,15,55,0,85,0,0,,,3,0,0,0,0,0,1,0
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2015,01030606,BETHLEHEM CSD,THOMAS DOUGLAS,700 DELAWARE AVE,DELMAR,5184397098,"K-12, UE, US",332,0,0,1,0,6,2,45,14,858,0,1146,10,1,30,9,57,0,38,80,2,0,7,0
010306060003,ELSMERE ELEMENTARY SCHOOL,2015,01030606,BETHLEHEM CSD,KATHERINE KLOSS,247 DELAWARE AVE,DELMAR,5184394996,"K-5, UE",15,0,0,0,0,0,0,2,13,17,0,26,0,0,,,2,0,0,0,0,0,1,0
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2014,01040206,RAVENA-COEYMANS-SELKIRK CSD,BRIAN BISHOP,2025 RT 9W,RAVENA,5187565200,"9-12, US",51,0,0,0,0,0,0,10,20,151,0,227,0,0,50,13,6,0,0,0,1,0,1,0
010402060002,ALBERTUS W BECKER SCHOOL,2014,01040206,RAVENA-COEYMANS-SELKIRK CSD,TRICIA CARLTON,1146 RT 9W,SELKIRK,5187565200,"PK-5, UE",47,0,0,0,0,4,9,10,21,42,0,93,0,0,0,13,4,0,0,0,0,0,1,0
010402060003,PIETER B COEYMANS SCHOOL,2014,01040206,RAVENA-COEYMANS-SELKIRK CSD,HAKIM JONES,66 CHURCH ST,COEYMANS,5187565200,PK-5,42,0,0,0,0,2,5,6,14,40,0,75,1,1,0,15,4,0,0,0,0,0,1,0
010402060002,ALBERTUS W BECKER SCHOOL,2015,01040206,RAVENA-COEYMANS-SELKIRK CSD,TRICIA CARLTON,1146 RT 9W,SELKIRK,5187565200,"PK-5, UE",47,0,0,0,0,2,4,9,19,49,0,90,0,0,,,7,0,0,0,0,0,1,0
010402060003,PIETER B COEYMANS SCHOOL,2015,01040206,RAVENA-COEYMANS-SELKIRK CSD,HAKIM JONES,66 CHURCH ST,COEYMANS,5187565200,PK-5,45,0,0,0,0,0,0,8,18,47,0,95,0,0,,,4,0,0,0,0,0,1,0
010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,2014,01040206,RAVENA-COEYMANS-SELKIRK CSD,PAMELA BLACK,2025 RT 9W,RAVENA,5187565200,"6-8, UE",44,0,0,1,2,2,5,4,9,138,0,225,5,2,0,17,5,0,0,0,0,0,1,0
010500010000,COHOES CITY SCHOOL DISTRICT,2014,01050001,COHOES CITY SD,ROBERT LIBBY,7 BEVAN ST,COHOES,5182370100,"PK-12, UE, US",163,0,0,0,0,4,2,26,16,373,0,595,4,1,23,12,22,0,36,11,3,0,5,0
010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,2015,01040206,RAVENA-COEYMANS-SELKIRK CSD,PAMELA BLACK,2025 RT 9W,RAVENA,5187565200,6-8,44,0,0,1,2,2,5,4,9,143,2,222,5,2,,,5,0,0,0,0,0,1,0
010500010000,COHOES CITY SCHOOL DISTRICT,2015,01050001,COHOES CITY SD,JENNIFER SPRING,7 BEVAN ST,COHOES,5182370100,"K-12, UE, US",166,0,0,3,2,5,3,30,18,332,2,552,17,3,27,7,22,0,40,14,2,0,6,0
010500010005,ABRAM LANSING SCHOOL,2015,01050001,COHOES CITY SD,CLIFFORD BIRD,26 JAMES ST,COHOES,5182375044,K-5,29,0,0,0,0,0,0,4,14,24,0,53,0,0,,,3,0,0,0,0,0,1,0
010500010005,ABRAM LANSING SCHOOL,2014,01050001,COHOES CITY SD,CLIFFORD BIRD,26 JAMES ST,COHOES,5182375044,K-5,27,0,0,0,0,0,0,3,11,29,0,41,0,0,,21,3,0,0,0,0,0,1,0
010500010006,VAN SCHAICK ISLAND SCHOOL,2014,01050001,COHOES CITY SD,JACQUELINE DECHIARO,150 CONTINENTAL AVE,COHOES,5182372828,"K-5, UE",13,0,0,0,0,1,8,3,23,25,0,32,1,3,0,8,2,0,0,0,0,0,1,0
010500010007,COHOES HIGH SCHOOL,2014,01050001,COHOES CITY SD,JOSEPH RAJCZAK,1 TIGER WAY,COHOES,5182379100,"9-12, US",47,0,0,0,0,0,0,8,17,158,0,238,2,1,17,7,5,0,0,0,2,0,1,0
010500010006,VAN SCHAICK ISLAND SCHOOL,2015,01050001,COHOES CITY SD,JACQUELINE DECHIARO,150 CONTINENTAL AVE,COHOES,5182372828,"K-5, UE",12,0,0,0,0,0,0,3,25,17,0,29,1,3,,,2,0,0,0,0,0,1,0
010500010007,COHOES HIGH SCHOOL,2015,01050001,COHOES CITY SD,JOSEPH RAJCZAK,1 TIGER WAY,COHOES,5182379100,"9-12, US",44,0,0,3,7,1,2,10,23,129,4,194,13,7,,,5,0,0,0,1,0,2,0
010500010008,COHOES MIDDLE SCHOOL,2014,01050001,COHOES CITY SD,DANIEL MARTINELLI,7 BEVAN ST,COHOES,5182374131,"6-8, UE, US",37,0,0,0,0,2,5,5,14,104,0,183,1,1,67,8,4,0,0,0,1,0,1,0
010500010009,HARMONY HILL SCHOOL,2014,01050001,COHOES CITY SD,MARK PERRY,MADELON K HICKEY WAY,COHOES,5182331900,K-5,28,0,0,0,0,0,0,4,14,21,0,51,0,0,0,16,3,0,0,0,0,0,1,0
010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2014,01060106,SOUTH COLONIE CSD,JONATHAN BUHNER,102 LORALEE DR,ALBANY,5188693576,"PK-12, UE, US",392,0,0,1,0,3,1,152,39,797,0,1267,8,1,,16,45,2,49,61,6,0,8,0
010500010008,COHOES MIDDLE SCHOOL,2015,01050001,COHOES CITY SD,DANIEL MARTINELLI,7 BEVAN ST,COHOES,5182374131,"6-8, UE, US",33,0,0,0,0,0,0,5,15,93,0,150,1,1,,,4,0,0,0,1,0,1,0
010500010009,HARMONY HILL SCHOOL,2015,01050001,COHOES CITY SD,MARK PERRY,MADELON K HICKEY WAY,COHOES,5182331900,K-5,31,0,0,0,0,3,10,4,13,22,0,39,0,0,,,3,0,0,0,0,0,1,0
010601060003,ROESSLEVILLE SCHOOL,2014,01060106,SOUTH COLONIE CSD,MARYBETH TEDISCO,100 CALIFORNIA AVE,ALBANY,5184592157,PK-4,26,0,0,0,0,0,0,13,50,16,0,38,0,0,,14,1,0,0,0,0,0,1,0
