"COUNTY_NAME","ENTITY_CD","ENTITY_NAME","DISTRICT_NAME","PROF_LEVEL","PER_FREE_LUNCH","PER_REDUCED_LUNCH","PER_LEP","PER_AM_IND","PER_BLACK","PER_HISP","PER_ASIAN","PER_WHITE","PER_Multi","PER_SWD","PER_FEMALE","PER_ECDIS","PER_SUSPENSIONS","MEAN_CLASS_SIZE","MEAN_ENROLL","PER_NOT_HQ","STUD_TEACH_RATIO","PER_HS_DEGREE","MEAN_INC","EXP_PER_ST","MEAN_TEACH_SCORE","CHARTER","VIOL_CRIME_PER_CITIZEN","PROP_CRIME_PER_CITIZEN","TOTAL_DIST_POP"
"WESTCHESTER","660406030001","GREENVILLE SCHOOL","EDGEMONT UNION FREE SCHOOL DISTRICT","Proficient",0,0,2.667,0,1.333,6.333,33.333,54.333,4.667,13.333,51,0,0,19.333,420,0,10.588,32.17,91459.601,120016.667,96.167,0,0.00217533730418714,0.0107248132278337,7476
"TOMPKINS","610600010011","NORTHEAST SCHOOL","ITHACA CITY SCHOOL DISTRICT","Proficient",18.333,9.667,16.333,0.667,7,3.333,34.667,44.333,10.667,8,45.333,31.333,0,19.333,302.333,0,9.547,31.94,146806.229,382600.882,91.5,0,0.00121801511489623,0.0209556143783328,67706
"NASSAU","280515030002","GEORGE A JACKSON SCHOOL","JERICHO UNION FREE SCHOOL DISTRICT","Proficient",3,0.333,4,0,2.333,2.667,58.667,36,0.667,14,45.333,3.667,0,20.333,374,0,9.048,33.51,162520.534,279275.401,89.883,0,0.00141715697438313,0.0106720145400836,17605
"WESTCHESTER","660406030001","GREENVILLE SCHOOL","EDGEMONT UNION FREE SCHOOL DISTRICT","Proficient",0,0,2.667,0,1.333,6.333,33.333,54.333,4.667,13.333,51,0,0,19.333,420,0,10.588,32.17,91459.601,120016.667,96.167,0,0.00217533730418714,0.0107248132278337,7476
"KINGS","331400861021","BEGINNING WITH CHILDREN CHARTER SCHOOL II",NA,"Proficient",78.333,7.667,18.667,1,35,60.333,2,1.333,0.667,14,52.667,92,2.333,25,149.667,11.333,8.164,21.331,74292.047,139035.635,86.898,1,0.00627668927886969,0.014459509017006,4112957.93920637
"KINGS","332000010204","PS 204 VINCE LOMBARDI","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Proficient",63,12,11.667,0,0.333,18.333,46.667,34,0,17,49.667,75,0,26.667,922.333,1,12.635,49.269,105977.999,28200066.137,86.523,0,0.00627668927886969,0.014459509017006,8461961
"KINGS","332000010682","ACADEMY OF TALENTED SCHOLARS (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Proficient",35,8.667,7.333,0,4.333,13.333,18,63,1,22.667,47.667,43.667,0,20,295.667,1.333,6.428,37.647,85392.668,87970217.587,90.156,0,0.00627668927886969,0.014459509017006,8461961
"NASSAU","280211030007","SCHOOL 9E-BOARDMAN ELEM SCHOOL","OCEANSIDE UNION FREE SCHOOL DISTRICT","Proficient",3.667,1,1.667,0,1.333,7,3.333,87,1.333,9.333,50.333,5.333,1,19,315.333,0,13.912,44.357,122644.341,453215.645,87.034,0,0.00141715697438313,0.0106720145400836,35487
"NASSAU","280203030001","BARNUM WOODS SCHOOL","EAST MEADOW UNION FREE SCHOOL DISTRICT","Proficient",9.667,6.333,3.667,0,6.667,18,15.333,58,1.667,7.333,48.667,17,0,24,615.333,0,13.474,26.5,118650,295812.026,83.023,0,0.00141715697438313,0.0106720145400836,51767
"WESTCHESTER","660301030003","GREENVALE SCHOOL","EASTCHESTER UNION FREE SCHOOL DISTRICT","Proficient",0,0,6.667,0,1.333,7,14.333,72.667,5,10.333,49,0,0.5,24.333,573.333,0,18.105,25.265,106936.966,150293.023,90.432,0,0.00217533730418714,0.0107248132278337,18270
"WESTCHESTER","661004060001","DOUGLAS G GRAFFLIN SCHOOL","CHAPPAQUA CENTRAL SCHOOL DISTRICT","Proficient",3,0,2.667,0,0.667,5.667,12.667,77,4.333,7.667,46,3.333,0,20.667,352.667,0,11.137,8.225,175568.248,335430.057,96.143,0,0.00217533730418714,0.0107248132278337,16627
"KINGS","331900860993","ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL",NA,"Proficient",71,8,3,2.333,71.667,25.333,0.667,0,0.667,12.667,54,89.333,5,30,184.667,39.333,8.147,27.55,197670.609,112684.116,85.942,1,0.00627668927886969,0.014459509017006,5172234.85455972
"SUFFOLK","580404030005","OCEAN AVENUE SCHOOL","NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT","Proficient",3,0.333,0,0,1.333,5,1,89.333,3,11.667,47,5.333,0,19.667,309,0,11.169,22.4,129090,501100.324,94.333,0,0.00122526082516204,0.0147749527744588,35382
"NASSAU","280203030012","MEADOWBROOK ELEMENTARY SCHOOL","EAST MEADOW UNION FREE SCHOOL DISTRICT","Proficient",17.333,4.667,9.333,0,2.333,24.667,20.667,51.333,1,18.667,47.333,22.667,1,23,358,0,11.674,26.5,118650,508444.134,85.07,0,0.00141715697438313,0.0106720145400836,51767
"KINGS","332000010105","PS 105 BLYTHEBOURNE (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Proficient",70,0.667,52.667,0,0,4,92.667,3,0,8.667,48,70.667,0,25.333,1463.667,0.333,15.247,27.98,135811.836,17770344.568,86.635,0,0.00627668927886969,0.014459509017006,8461961
"QUEENS","342600010186","PS 186 CASTLEWOOD","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",25.667,8,1,0.667,13.333,20.667,32,32,1,30.667,45.333,34,0,18.333,289.333,7,4.796,37.119,68345.415,89895832.949,86.377,0,0.00464932850969108,0.0126289441911748,8461961
"KINGS","332100010101","PS 101 VERRAZANO (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #21","Proficient",55,2.333,17.667,0,1,17.667,52.667,28.667,0.333,19.667,46.667,57.333,0,26.667,761.333,0,12.413,35.242,130244.513,34163565.236,87.587,0,0.00627668927886969,0.014459509017006,8461961
"KINGS","331400861024","SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG",NA,"Proficient",60.333,10,8.667,0.333,30,56.667,2,9.333,1.333,15.333,53,70,8,28.333,254.333,0,11.561,34.061,101992.54,81817.824,93.478,1,0.00627668927886969,0.014459509017006,4380719.80044342
"ERIE","141601060003","CHARLOTTE AVENUE ELEMENTARY SCHOOL","HAMBURG CENTRAL SCHOOL DISTRICT","Proficient",17,4,0,0,0,2,1,95.333,2,13.667,48.333,24,0.333,18.667,212.333,0,9.953,26.882,82750.473,319012.559,83.881,0,0.0041347794072196,0.0247089073220775,25268
"SARATOGA","520302060005","TESAGO ELEMENTARY SCHOOL","SHENENDEHOWA CENTRAL SCHOOL DISTRICT","Proficient",5.333,1.333,2.667,0,2.333,4,22.667,68.333,3,9,50,7.667,0,23,405.667,0,15.025,28.562,90213.945,376308.956,92.917,0,0.00100120482463355,0.0119477701852585,65285
"ERIE","140801060005","SHERIDAN HILL ELEMENTARY SCHOOL","CLARENCE CENTRAL SCHOOL DISTRICT","Proficient",5.667,0.333,2.667,0,0.667,3,8,85,2.333,10.333,47.667,8,0.5,23,446.667,0,12.762,35.09,180879.37,149507.463,86.345,0,0.0041347794072196,0.0247089073220775,29067
"QUEENS","342500010294","BELL ACADEMY","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",35.667,12.333,2.667,0,4.333,24,32.667,38.667,0.333,19.333,52.333,48,0.333,30,367.667,21,15.986,31.387,20410.571,70743048.957,83,0,0.00464932850969108,0.0126289441911748,8461961
"ONONDAGA","421001060008","ENDERS ROAD ELEMENTARY SCHOOL","FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT","Proficient",4.667,2,1,0,2.667,2.333,12,80,3,8.667,49,7,0,22.333,455,0,13.125,19.082,148028.059,171923.077,92.605,0,0.00313128939215896,0.0227317594274116,25089
"NASSAU","280409030007","HERRICKS MIDDLE SCHOOL","HERRICKS UNION FREE SCHOOL DISTRICT","Proficient",5.333,2,2,0,1,6.667,58.333,35,0,14,46.667,8.667,2.667,22.956,932,0,13.005,30.722,127201.895,111187.768,93.109,0,0.00141715697438313,0.0106720145400836,25367
"NASSAU","280502060004","BAYLIS ELEMENTARY SCHOOL","SYOSSET CENTRAL SCHOOL DISTRICT","Proficient",1.333,0.333,3,0,0,2.333,25.667,70,1,7.667,48,3,0.667,22.667,352,0,11.478,25.215,162039.08,583588.068,92.588,0,0.00141715697438313,0.0106720145400836,34149
"NASSAU","280518030003","JOHN H WEST SCHOOL","PLAINEDGE UNION FREE SCHOOL DISTRICT","Proficient",10,3,2.667,0,0,7.667,5.333,86.333,0.333,9,51.667,12.667,0,20.333,402.333,0,11.073,17.281,73829.924,195599.006,90.711,0,0.00141715697438313,0.0106720145400836,19036
"HAMILTON","200701040001","LONG LAKE CENTRAL SCHOOL","LONG LAKE CENTRAL SCHOOL DISTRICT","Proficient",33.667,3.667,0,0,0,0,1.333,98,0.667,7,53.667,40.333,0.5,4.556,50.667,1,2.923,27.047,142130.25,66848.684,82.837,0,0.000723866297636789,0.0101767085373643,417
"QUEENS","342800010101","PS 101 SCHOOL IN THE GARDENS","NEW YORK CITY GEOGRAPHIC DISTRICT #28","Proficient",14.667,4,5.333,0.667,2.667,13.667,30.333,46,6,11.333,49.333,19,0,28.667,494,0,14.673,19.828,182550.767,52651540.486,83.9,0,0.00464932850969108,0.0126289441911748,8461961
"LIVINGSTON","241001060004","DANSVILLE PRIMARY SCHOOL","DANSVILLE CENTRAL SCHOOL DISTRICT","Proficient",47.667,7,2,0,1,4.667,0,92,2,18.333,46.667,58.667,0,18.667,211.667,0,6.048,21.341,104754.531,137796.85,89.56,0,0.00101203924360125,0.0131131812695367,10050
"KINGS","332200010195","PS 195 MANHATTAN BEACH","NEW YORK CITY GEOGRAPHIC DISTRICT #22","Proficient",22.667,7,11.333,0,3,2.667,3.333,91,0,10.333,47.333,30.333,0,27,364.333,3,15.394,28.035,117274.412,71390286.368,87.042,0,0.00627668927886969,0.014459509017006,8461961
"BRONX","320700861028","FAMILY LIFE ACADEMY CHARTER SCHOOL II",NA,"Proficient",89,11.333,13.667,0,31,68.667,0,0,0,13,49.667,97,0,25.667,152.667,0,13.471,20.75,16733.137,136303.493,88.007,1,0.00911660408481436,0.0160715764710795,4502129.22286973
"QUEENS","342500010184","PS 184 FLUSHING MANOR","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",35.333,12.333,8.333,0.333,0.333,13.667,35.667,48.667,1.333,17,52,47.333,0,26.333,403,4.333,12.726,19.911,215822.744,64540598.015,85.9,0,0.00464932850969108,0.0126289441911748,8461961
"SCHENECTADY","530301060001","BIRCHWOOD ELEMENTARY SCHOOL","NISKAYUNA CENTRAL SCHOOL DISTRICT","Proficient",6,0.333,2.667,0,2.667,3,22.333,67,5.667,11,51,7,0.333,22,228.333,0,12.232,26.626,82338.047,298913.869,92.114,0,0.00426749329975136,0.0271962284865511,23579
"SUFFOLK","581015080001","NEW SUFFOLK SCHOOL","NEW SUFFOLK COMMON SCHOOL DISTRICT","Proficient",0,0,0,0,0,14,4,80,2,12,51,0,0,4,12.333,30.333,2.643,25.558,74040.845,80189.189,88.625,0,0.00122526082516204,0.0147749527744588,250
"QUEENS","342600010018","PS 18 WINCHESTER","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",43.333,13,7.667,1,10,10.333,73.333,5.667,0.333,10.667,48.333,56,0,26.667,522,0.667,13.737,18.153,82343.422,49827319.923,87.98,0,0.00464932850969108,0.0126289441911748,8461961
"KINGS","331400861022","SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2",NA,"Proficient",67.333,9,2.667,1.667,73.333,22,0.667,1.667,0.333,18.333,49.667,65.333,10.667,25.333,225.667,0,11.672,36.487,125901.834,92211.226,86.639,1,0.00627668927886969,0.014459509017006,1608538.0244143
"NASSAU","280502060006","ROBBINS LANE ELEMENTARY SCHOOL","SYOSSET CENTRAL SCHOOL DISTRICT","Proficient",1,0,2,0,0,4,36,58.333,1,7.667,51.333,2.333,0,22.333,400.667,0,10.017,33.053,200304.663,512702.995,93.441,0,0.00141715697438313,0.0106720145400836,34149
"KINGS","331500860878","HELLENIC CLASSICAL CHARTER SCHOOL",NA,"Proficient",48.667,10,3.333,1,31.667,37.333,2,26,2,9.333,53,59.333,0.333,24.333,420.333,1,12.243,22.428,155996.226,49505.948,81.883,1,0.00627668927886969,0.014459509017006,392703.483425481
"SARATOGA","520302060005","TESAGO ELEMENTARY SCHOOL","SHENENDEHOWA CENTRAL SCHOOL DISTRICT","Proficient",5.333,1.333,2.667,0,2.333,4,22.667,68.333,3,9,50,7.667,0,23,405.667,0,15.025,28.562,90213.945,376308.956,92.917,0,0.00100120482463355,0.0119477701852585,65285
"SUFFOLK","580910080001","SAGAPONACK SCHOOL","SAGAPONACK COMMON SCHOOL DISTRICT","Proficient",0,0,6,0,8.667,11.667,3,76.667,0,3,41.333,0,0,9,10.333,0,2.385,30.856,149087.132,170225.806,93.437,0,0.00122526082516204,0.0147749527744588,216
"HAMILTON","200701040001","LONG LAKE CENTRAL SCHOOL","LONG LAKE CENTRAL SCHOOL DISTRICT","Proficient",33.667,3.667,0,0,0,0,1.333,98,0.667,7,53.667,40.333,0.5,4.556,50.667,1,2.923,27.047,142130.25,66848.684,82.837,0,0.000723866297636789,0.0101767085373643,417
"NASSAU","280221030004","RIVERSIDE SCHOOL","ROCKVILLE CENTRE UNION FREE SCHOOL DISTRICT","Proficient",18.667,1,4,0,6.333,28.333,3,58,4.333,15,48.333,21,1.667,17,147.667,0,9.63,14.5,153563,719884.876,85.665,0,0.00141715697438313,0.0106720145400836,22409
"KINGS","331300861039","SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE",NA,"Proficient",60.667,6.667,4,0,71,19,2,6,1.667,15,52.333,65,16,25,130,0,9.286,35.409,158020.055,160069.231,96.408,1,0.00627668927886969,0.014459509017006,7202208.97138492
"ORANGE","441201060006","MONROE-WOODBURY HIGH SCHOOL","MONROE-WOODBURY CENTRAL SCHOOL DISTRICT","Proficient",12,3,1,0,8,18.333,6.333,66.667,1,13,49.333,16.333,3.333,26.917,2284.333,0.667,15.263,19.656,88386.919,69640.449,84.382,0,0.00233466758097182,0.0177236991085525,37191
"QUEENS","342500010294","BELL ACADEMY","NEW YORK CITY GEOGRAPHIC DISTRICT #25","Proficient",35.667,12.333,2.667,0,4.333,24,32.667,38.667,0.333,19.333,52.333,48,0.333,30,367.667,21,15.986,31.387,20410.571,70743048.957,83,0,0.00464932850969108,0.0126289441911748,8461961
"SARATOGA","520302060007","KARIGON ELEMENTARY SCHOOL","SHENENDEHOWA CENTRAL SCHOOL DISTRICT","Proficient",6,1,1,0,2.667,3,8.333,81,4.667,7.667,47,8,0,22.667,390,0,13.605,25.426,29800.006,391425.641,90,0,0.00100120482463355,0.0119477701852585,65285
"SUFFOLK","580507060008","IDLE HOUR ELEMENTARY SCHOOL","CONNETQUOT CENTRAL SCHOOL DISTRICT","Proficient",8.667,2,1,0.333,0,4.667,4,90,0.333,14.333,44,12,1.5,19,214.667,0,10.733,27.91,64518.011,760136.646,82.092,0,0.00122526082516204,0.0147749527744588,38524
"KINGS","332000010160","PS 160 WILLIAM T SAMPSON","NEW YORK CITY GEOGRAPHIC DISTRICT #20","Proficient",68.667,0.333,69.333,0,1,11,83.667,4.667,0,9.333,47.333,69.333,0,26.667,1103.667,2.667,12.637,14.365,132105.254,23566772.274,86.855,0,0.00627668927886969,0.014459509017006,8461961
"QUEENS","342600010133","PS 133","NEW YORK CITY GEOGRAPHIC DISTRICT #26","Proficient",51.333,11.667,8.667,1.333,6.333,17.333,61,13,1.333,22.667,47,63,0,28.667,333.333,8.667,10.309,21.23,88548.345,78029583,88.208,0,0.00464932850969108,0.0126289441911748,8461961
"NASSAU","280407030010","SADDLE ROCK SCHOOL","GREAT NECK UNION FREE SCHOOL DISTRICT","Proficient",5,3.333,5.333,0,1,6,24,66.667,2.667,13.333,49.333,9,0.333,19.333,460.667,0,8.427,24.9,153606,455828.509,98.808,0,0.00141715697438313,0.0106720145400836,45310
"QUEENS","342400010119","IS 119 GLENDALE (THE)","NEW YORK CITY GEOGRAPHIC DISTRICT #24","Proficient",56.667,13,4,0,1,31.333,23.333,43,0.333,12,50,69.667,0.333,28.133,1012.667,12.667,16.601,20.866,118501.749,25684523.7,85.322,0,0.00464932850969108,0.0126289441911748,8461961
"BRONX","320700861028","FAMILY LIFE ACADEMY CHARTER SCHOOL II",NA,"Proficient",89,11.333,13.667,0,31,68.667,0,0,0,13,49.667,97,0,25.667,152.667,0,13.471,20.75,16733.137,136303.493,88.007,1,0.00911660408481436,0.0160715764710795,4502129.22286973
"KINGS","331400861024","SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG",NA,"Proficient",60.333,10,8.667,0.333,30,56.667,2,9.333,1.333,15.333,53,70,8,28.333,254.333,0,11.561,34.061,101992.54,81817.824,93.478,1,0.00627668927886969,0.014459509017006,4380719.80044342
"ERIE","141601060003","CHARLOTTE AVENUE ELEMENTARY SCHOOL","HAMBURG CENTRAL SCHOOL DISTRICT","Proficient",17,4,0,0,0,2,1,95.333,2,13.667,48.333,24,0.333,18.667,212.333,0,9.953,26.882,82750.473,319012.559,83.881,0,0.0041347794072196,0.0247089073220775,25268
"QUEENS","343000011580","BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION","NEW YORK CITY GEOGRAPHIC DISTRICT #30","Proficient",31,11.333,0,1,2,17,47,31.667,2,1,56,42.667,0,26.778,488.333,5.333,16.278,31.074,126850.284,53262513.993,90.93,0,0.00464932850969108,0.0126289441911748,8461961
