ENTITY_CD,ENTITY_NAME,YEAR,PK,PKHALF,PKFULL,KHALF,KFULL,1,2,3,4,5,6,7,8,9,10,11,12,UGE,UGS
000003000000,BROOME County,2016,1097,704,393,0,2024,1976,1978,1973,1940,1933,1899,2012,1920,2218,2089,1959,2025,79,169
000004000000,CATTARAUGUS County,2016,703,269,434,0,968,914,931,933,984,949,947,1037,982,1029,959,982,961,36,55
000005000000,CAYUGA County,2016,506,115,391,0,720,706,716,676,695,636,682,681,729,734,773,691,689,17,5
000005000000,CAYUGA County,2014,456,,,0,735,712,744,656,675,675,745,709,766,781,766,699,738,17,2
000006000000,CHAUTAUQUA County,2014,887,,,0,1389,1495,1496,1390,1389,1420,1487,1544,1472,1550,1554,1415,1493,52,114
000007000000,CHEMUNG County,2014,519,,,0,887,936,866,883,850,908,869,917,835,984,869,791,801,8,5
000008000000,CHENANGO County,2014,322,,,0,574,553,512,526,529,554,554,594,571,624,611,569,565,18,31
000009000000,CLINTON County,2014,207,,,0,850,846,786,775,782,769,831,857,859,895,829,827,889,58,44
000007000000,CHEMUNG County,2015,476,85,391,0,907,848,911,856,865,852,893,852,913,880,885,795,796,5,7
000008000000,CHENANGO County,2015,319,191,128,0,547,567,541,516,507,519,562,548,596,614,564,582,569,18,26
000009000000,CLINTON County,2015,193,172,21,0,869,821,818,765,765,770,765,836,849,889,840,778,825,61,44
000010000000,COLUMBIA County,2015,170,59,111,0,492,554,522,562,491,513,533,569,555,670,595,502,592,30,45
000010000000,COLUMBIA County,2014,145,,,0,559,515,578,509,517,532,551,564,578,624,538,589,572,25,49
000011000000,CORTLAND County,2014,187,,,0,529,494,465,496,483,465,486,509,489,515,521,478,491,21,18
000012000000,DELAWARE County,2014,201,,,0,436,445,415,397,397,389,387,387,431,476,435,459,404,25,27
000013000000,DUTCHESS County,2014,340,,,340,2376,2908,2809,2936,3023,3227,3122,3298,3391,3477,3520,3508,3559,93,98
000011000000,CORTLAND County,2015,177,132,45,0,486,526,470,461,490,476,471,508,510,502,504,480,482,15,26
000012000000,DELAWARE County,2015,210,140,70,0,434,432,425,414,381,392,395,388,366,456,462,421,437,20,27
000013000000,DUTCHESS County,2015,405,324,81,346,2339,2787,2883,2755,2915,2984,3179,3125,3266,3587,3313,3437,3548,91,114
000014000000,ERIE County,2015,5079,2910,2169,0,9209,9282,9316,9054,9072,9190,9479,9750,9906,10029,9625,9340,9401,470,787
000015000000,ESSEX County,2015,196,67,129,0,262,277,246,281,262,262,274,264,290,303,292,303,327,15,23
000014000000,ERIE County,2014,5087,,,0,9190,9441,9107,9061,9208,9475,9579,9942,9931,9841,9701,9269,9557,464,764
000015000000,ESSEX County,2014,140,,,0,285,252,273,260,258,281,248,301,291,306,314,330,311,15,18
000016000000,FRANKLIN County,2014,320,,,0,572,538,562,539,548,520,523,563,552,602,579,576,593,15,37
000017000000,FULTON County,2014,277,,,0,564,567,584,553,546,561,586,604,614,710,646,551,587,8,39
000018000000,GENESEE County,2014,367,,,0,604,631,597,633,602,608,640,621,648,662,633,648,626,19,29
000016000000,FRANKLIN County,2015,329,145,184,0,513,569,533,562,542,549,545,523,570,597,569,560,569,11,31
000017000000,FULTON County,2015,300,155,145,0,510,579,566,574,556,560,579,612,603,656,622,563,591,7,35
000018000000,GENESEE County,2015,355,355,0,0,621,587,634,596,631,589,600,643,613,661,657,604,673,20,30
000019000000,GREENE County,2015,148,129,19,0,455,448,451,450,460,431,452,453,432,451,445,468,482,17,29
000019000000,GREENE County,2014,147,,,0,442,460,456,466,436,450,468,456,454,482,489,509,516,22,27
000020000000,HAMILTON County,2014,34,,,0,34,32,33,40,40,41,37,44,30,33,25,34,25,1,1
000021000000,HERKIMER County,2014,333,,,0,682,743,661,669,697,742,696,739,718,765,746,705,718,16,29
000022000000,JEFFERSON County,2014,619,,,0,1763,1643,1575,1413,1421,1330,1367,1341,1350,1343,1314,1249,1195,49,90
000020000000,HAMILTON County,2015,28,21,7,0,29,34,35,27,39,41,37,33,37,28,27,21,30,1,1
000021000000,HERKIMER County,2015,413,220,193,0,660,685,706,629,646,705,720,712,709,745,716,694,700,23,35
000022000000,JEFFERSON County,2015,591,573,18,1,1672,1645,1563,1483,1325,1336,1288,1307,1295,1351,1286,1229,1165,40,89
000023000000,LEWIS County,2015,184,184,0,0,308,313,277,299,300,282,303,334,310,310,306,302,298,8,20
000024000000,LIVINGSTON County,2015,205,124,81,0,518,563,568,577,601,568,569,652,610,635,625,591,629,12,21
000023000000,LEWIS County,2014,195,,,0,308,299,314,308,285,306,329,318,315,317,304,312,301,8,16
000024000000,LIVINGSTON County,2014,183,,,0,565,578,576,605,573,559,639,611,643,638,611,631,656,14,24
000025000000,MADISON County,2014,251,,,0,730,754,698,727,693,743,721,765,810,801,808,843,828,28,27
000026000000,MONROE County,2014,3070,,,1097,6839,8118,8306,7898,7864,8258,8119,8283,8456,9335,8494,7804,7845,279,497
000027000000,MONTGOMERY County,2014,319,,,0,592,602,569,585,564,571,534,598,563,617,603,535,494,22,42
000025000000,MADISON County,2015,253,198,55,0,696,699,734,703,725,700,740,734,740,806,775,765,845,29,27
000026000000,MONROE County,2015,3361,1252,2109,1063,6755,8109,8097,8224,7837,7831,8149,8193,8171,9408,8266,7893,7785,326,517
000027000000,MONTGOMERY County,2015,342,83,259,0,546,576,587,541,580,557,561,530,597,559,595,557,512,28,48
000028000000,NASSAU County,2015,3196,2698,498,584,13439,14625,14698,14826,14795,15146,15448,15544,15382,16571,16061,15909,16143,651,938
000028000000,NASSAU County,2014,3110,,,805,13383,14412,14707,14503,14999,15233,15356,15153,16111,15927,16083,15893,16401,633,939
000030000000,NYC Public Schools,2014,321,,,0,467,542,551,544,569,633,498,533,670,783,531,307,344,7406,7982
000031000000,NEW YORK County,2014,6781,,,0,11739,12045,11170,10727,10249,10167,10143,9923,10144,18158,17767,14771,14139,271,395
000032000000,BRONX County,2014,10580,,,0,18168,19378,18285,17673,16460,16019,15645,15844,15869,17991,16278,12769,11069,504,392
000033000000,KINGS County,2014,18201,,,0,25818,27416,25829,24523,23324,22723,22547,22111,22584,24889,24010,18879,18085,772,898
000030000000,NYC Public Schools,2015,314,0,314,0,449,591,587,531,579,575,514,515,536,778,509,308,314,7598,8153
000031000000,NEW YORK County,2015,7898,826,7072,0,11770,11895,11677,10837,10523,10354,10371,10147,9897,18208,17469,15131,13951,221,376
000032000000,BRONX County,2015,13531,1776,11755,0,18633,19393,18717,17848,17506,16290,15717,15786,15909,18150,16373,12916,11547,481,437
000033000000,KINGS County,2015,21402,4774,16628,0,26004,27092,26703,25000,24015,23169,22543,22397,21959,25524,24526,18983,18384,700,901
000034000000,QUEENS County,2014,16198,,,0,22655,23951,22411,21718,21171,20915,20304,20262,20623,21858,19811,17544,16770,507,543
000035000000,RICHMOND County,2014,3544,,,0,4703,4873,4675,4567,4564,4671,4483,4263,4413,5110,4904,4026,3499,89,197
000040000000,NIAGARA County,2014,972,,,0,2125,2196,2090,2033,2106,2217,2197,2304,2287,2364,2264,2236,2303,152,193
000041000000,ONEIDA County,2014,1288,,,0,2592,2618,2572,2544,2541,2594,2449,2538,2416,2675,2601,2395,2453,147,120
000034000000,QUEENS County,2015,18516,5511,13005,0,22574,23406,23547,22143,21592,21062,20797,20350,20528,22956,19900,17188,16661,450,528
000035000000,RICHMOND County,2015,3883,919,2964,0,4623,4851,4733,4661,4543,4537,4526,4512,4291,5074,4946,4195,3418,79,213
000040000000,NIAGARA County,2015,988,521,467,0,2045,2122,2141,2078,2039,2090,2231,2230,2290,2279,2345,2169,2202,151,209
000041000000,ONEIDA County,2015,1280,1226,54,0,2603,2610,2628,2567,2566,2541,2588,2440,2505,2464,2544,2436,2565,134,134
000042000000,ONONDAGA County,2015,2085,904,1181,0,5180,5221,5256,5214,4983,5206,5128,5341,5434,6016,5773,5018,5158,231,414
000042000000,ONONDAGA County,2014,2162,,,544,4575,5246,5241,5017,5225,5166,5316,5488,5504,6326,5566,4909,5318,266,383
000043000000,ONTARIO County,2014,547,,,2,1138,1161,1176,1187,1140,1234,1176,1262,1256,1303,1298,1263,1253,41,47
000044000000,ORANGE County,2014,1807,,,447,3657,4267,4377,4214,4431,4560,4522,4653,4679,5219,5000,4718,4627,231,265
000045000000,ORLEANS County,2014,281,,,0,424,437,455,396,433,471,454,471,492,492,519,449,463,24,44
000043000000,ONTARIO County,2015,598,438,160,3,1091,1154,1166,1169,1173,1145,1248,1177,1259,1313,1225,1263,1300,33,59
000044000000,ORANGE County,2015,1951,1181,770,210,3835,4142,4246,4335,4224,4401,4602,4560,4633,5123,4855,4624,4681,245,273
000045000000,ORLEANS County,2015,286,286,0,0,404,429,427,443,391,427,461,454,454,495,475,478,444,20,47
000046000000,OSWEGO County,2015,766,718,48,0,1470,1437,1377,1486,1374,1460,1481,1452,1589,1634,1640,1512,1527,78,109
000047000000,OTSEGO County,2015,231,48,183,0,497,546,521,491,516,514,520,551,542,572,575,533,602,25,27
000046000000,OSWEGO County,2014,774,,,0,1452,1411,1498,1395,1440,1486,1468,1593,1589,1656,1606,1441,1661,92,107
000047000000,OTSEGO County,2014,236,,,0,551,544,502,516,516,524,558,541,559,613,552,584,542,28,31
000048000000,PUTNAM County,2014,0,,,241,699,995,1008,1011,1120,1155,1182,1190,1252,1215,1310,1283,1321,36,89
000049000000,RENSSELAER County,2014,523,,,0,1578,1610,1511,1478,1401,1622,1486,1588,1609,1642,1544,1538,1586,54,79
000050000000,ROCKLAND County,2014,2406,,,1274,1533,2941,2924,2963,3004,2957,3017,3197,3151,3291,3267,3244,3087,85,186
000048000000,PUTNAM County,2015,0,0,0,193,684,991,1012,1000,1023,1122,1171,1190,1177,1240,1231,1297,1314,34,88
000049000000,RENSSELAER County,2015,582,41,541,0,1555,1560,1575,1477,1468,1435,1578,1479,1567,1599,1563,1453,1497,61,86
000050000000,ROCKLAND County,2015,2656,2178,478,1286,1411,2912,2962,2918,3000,3027,2993,3024,3218,3375,3199,3102,3218,99,187
000051000000,ST. LAWRENCE County,2015,700,699,1,0,1165,1094,1112,1122,1077,1096,1051,1158,1166,1188,1052,1070,1029,37,67
000051000000,ST. LAWRENCE County,2014,748,,,0,1206,1153,1150,1104,1102,1083,1109,1188,1158,1115,1117,1072,1071,41,88
000052000000,SARATOGA County,2014,389,,,569,1799,2431,2484,2400,2538,2699,2623,2713,2743,2801,2853,2513,2662,125,161
000053000000,SCHENECTADY County,2014,397,,,0,1626,1637,1660,1564,1647,1674,1646,1752,1694,1841,1662,1515,1572,70,66
000054000000,SCHOHARIE County,2014,112,,,0,329,303,281,296,332,323,334,330,348,355,351,355,336,15,32
000052000000,SARATOGA County,2015,381,269,112,561,1723,2485,2465,2513,2408,2519,2708,2633,2703,2826,2722,2704,2529,100,190
000053000000,SCHENECTADY County,2015,486,378,108,0,1561,1596,1623,1655,1568,1652,1653,1632,1675,1904,1617,1536,1570,87,80
000054000000,SCHOHARIE County,2015,127,90,37,0,296,323,303,287,303,349,319,352,329,357,337,333,369,11,31
000055000000,SCHUYLER County,2015,86,0,86,0,128,146,136,130,131,132,138,147,151,171,131,139,144,3,6
000056000000,SENECA County,2015,115,112,3,0,286,288,272,300,296,274,304,307,315,355,330,304,304,2,12
000055000000,SCHUYLER County,2014,76,,,0,148,142,128,135,134,130,141,150,166,140,141,152,145,4,3
000056000000,SENECA County,2014,103,,,0,295,276,302,297,283,297,314,308,346,343,325,312,321,0,13
000057000000,STEUBEN County,2014,574,,,0,1082,1162,1101,1099,1067,1101,1118,1130,1186,1254,1198,1117,1166,59,54
000058000000,SUFFOLK County,2014,5429,,,1196,15568,17586,17848,17589,18173,18635,18495,18911,19530,20220,19772,19312,19550,873,1156
000059000000,SULLIVAN County,2014,344,,,0,772,749,798,705,625,710,650,770,765,788,703,686,623,26,38
000057000000,STEUBEN County,2015,618,77,541,0,1061,1058,1122,1070,1094,1069,1079,1139,1114,1275,1201,1121,1146,46,63
000058000000,SUFFOLK County,2015,5528,4525,1003,614,15600,17074,17571,17853,17655,18253,18786,18648,19070,20308,20018,19342,19303,828,1257
000059000000,SULLIVAN County,2015,332,96,236,0,704,738,736,768,700,630,706,664,773,774,716,644,617,27,36
000060000000,TIOGA County,2015,247,186,61,0,526,570,565,538,536,568,550,573,583,639,610,547,563,27,29
000060000000,TIOGA County,2014,247,,,0,572,591,568,544,558,549,574,587,611,664,596,563,549,26,37
000061000000,TOMPKINS County,2014,373,,,0,833,834,759,805,807,836,771,826,834,920,877,855,805,19,37
000062000000,ULSTER County,2014,395,,,0,1731,1713,1759,1641,1745,1753,1725,1816,1808,1855,1949,1832,1855,78,112
000063000000,WARREN County,2014,150,,,0,666,662,625,656,673,656,706,691,704,748,704,740,735,24,53
000061000000,TOMPKINS County,2015,350,50,300,0,839,825,808,755,780,787,846,781,838,916,883,828,855,21,24
000062000000,ULSTER County,2015,386,294,92,0,1591,1719,1691,1751,1618,1715,1731,1765,1772,1887,1838,1812,1800,72,109
000063000000,WARREN County,2015,141,95,46,0,680,676,635,615,664,670,663,706,687,730,737,666,737,31,58
000064000000,WASHINGTON County,2015,315,294,21,1,628,629,630,637,631,646,639,675,651,699,679,628,608,24,54
000065000000,WAYNE County,2015,590,275,315,25,1044,1071,1006,1092,986,1065,1037,1016,1089,1142,1133,1069,1104,28,67
000064000000,WASHINGTON County,2014,298,,,0,651,632,633,655,645,619,652,676,668,734,660,634,643,24,61
000065000000,WAYNE County,2014,605,,,25,1066,1032,1107,990,1069,1049,1008,1092,1069,1186,1114,1085,1113,32,72
000066000000,WESTCHESTER County,2014,3371,,,345,10592,11253,11247,11079,11277,11332,11258,11128,11362,11670,11263,10696,10847,674,1226
000067000000,WYOMING County,2014,99,,,0,252,303,292,298,312,321,318,344,325,348,321,320,347,7,19
000068000000,YATES County,2014,143,,,0,148,143,138,136,137,162,150,182,174,230,219,206,176,6,18
000066000000,WESTCHESTER County,2015,3400,2720,680,0,10644,11114,11297,11281,11119,11430,11284,11246,11150,12045,11191,10773,10831,669,1220
000067000000,WYOMING County,2015,108,94,14,0,305,254,294,298,303,314,319,329,344,319,336,298,323,2,19
000068000000,YATES County,2015,98,0,98,0,197,144,139,131,133,134,170,152,181,194,218,194,199,4,21
010100010000,ALBANY CITY SCHOOL DISTRICT,2015,689,0,689,0,774,774,728,670,649,580,568,557,595,717,554,541,530,62,92
010100010000,ALBANY CITY SCHOOL DISTRICT,2014,581,,,0,783,758,714,659,622,619,556,596,610,675,565,486,474,68,87
010100010014,MONTESSORI MAGNET SCHOOL,2014,36,,,0,55,57,47,47,46,41,0,0,0,0,0,0,0,6,0
010100010016,PINE HILLS ELEMENTARY SCHOOL,2014,0,,,0,64,62,52,54,44,47,41,0,0,0,0,0,0,0,0
010100010018,DELAWARE COMMUNITY SCHOOL,2014,18,,,0,74,80,69,70,60,74,0,0,0,0,0,0,0,0,0
010100010014,MONTESSORI MAGNET SCHOOL,2015,36,0,36,0,44,42,43,45,47,45,0,0,0,0,0,0,0,9,0
010100010016,PINE HILLS ELEMENTARY SCHOOL,2015,0,0,0,0,70,77,71,56,54,44,50,1,0,0,0,0,0,0,0
010100010018,DELAWARE COMMUNITY SCHOOL,2015,17,0,17,0,72,78,80,68,66,55,0,0,0,0,0,0,0,0,0
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2015,1,0,1,0,90,93,93,74,74,86,0,0,0,0,0,0,0,3,0
010100010020,NORTH ALBANY ACADEMY,2015,0,0,0,0,50,38,40,31,22,19,40,38,54,0,0,0,0,10,21
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2014,0,,,0,98,96,84,80,91,61,0,0,0,0,0,0,0,9,0
010100010020,NORTH ALBANY ACADEMY,2014,0,,,0,37,38,29,23,25,43,41,59,60,0,0,0,0,9,19
010100010023,ALBANY SCHOOL OF HUMANITIES,2014,0,,,0,66,65,71,62,60,66,81,0,0,0,0,0,0,19,0
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2014,0,,,0,52,53,59,48,38,48,50,0,0,0,0,0,0,0,0
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2014,0,,,0,70,69,73,69,66,58,0,0,0,0,0,0,0,16,0
010100010023,ALBANY SCHOOL OF HUMANITIES,2015,18,0,18,0,64,67,66,70,60,56,74,0,0,0,0,0,0,15,0
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2015,0,0,0,0,47,46,48,42,52,37,43,0,0,0,0,0,0,0,0
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2015,18,0,18,0,72,78,79,77,69,70,38,0,0,0,0,0,0,10,0
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2015,19,0,19,0,73,97,59,63,50,63,46,0,0,0,0,0,0,0,0
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2014,0,,,0,80,69,67,49,57,49,42,0,0,0,0,0,0,0,0
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2014,0,,,0,0,0,0,0,0,0,150,248,287,0,0,0,0,0,1
010100010034,ALBANY HIGH SCHOOL,2014,0,,,0,0,0,0,0,0,0,0,0,0,675,565,486,474,0,62
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2014,0,,,0,64,47,52,48,46,35,41,0,0,0,0,0,0,0,0
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2015,0,0,0,0,0,0,0,0,0,0,119,248,266,0,0,0,0,0,0
010100010034,ALBANY HIGH SCHOOL,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,717,554,541,530,0,66
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2015,17,0,17,0,76,57,50,47,55,39,40,0,0,0,0,0,0,8,0
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2015,18,0,18,0,33,37,32,34,35,34,0,0,0,0,0,0,0,0,0
010100010044,SHERIDAN PREPARATORY ACADEMY,2015,0,0,0,0,83,64,67,63,65,32,0,0,0,0,0,0,0,0,0
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2014,0,,,0,57,51,47,44,45,48,0,0,0,0,0,0,0,5,0
010100010044,SHERIDAN PREPARATORY ACADEMY,2014,0,,,0,66,71,64,65,44,49,0,0,0,0,0,0,0,1,0
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2014,0,,,0,0,0,0,0,0,0,110,289,263,0,0,0,0,3,5
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2014,0,,,0,59,63,59,54,38,0,0,0,0,0,0,0,0,0,0
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2015,0,0,0,0,0,0,0,0,0,0,118,270,275,0,0,0,0,7,5
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2015,0,0,0,0,60,60,60,61,47,0,0,0,0,0,0,0,0,0,0
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2015,0,0,0,0,61,59,56,52,46,0,0,0,0,0,0,0,0,0,0
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2015,0,0,0,0,0,0,0,0,0,79,95,67,48,0,0,0,0,0,0
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2014,0,,,0,59,59,66,52,36,0,0,0,0,0,0,0,0,0,0
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2014,0,,,0,0,0,0,0,0,88,99,70,51,0,0,0,0,0,0
010100860892,HENRY JOHNSON CHARTER SCHOOL,2014,0,,,0,77,77,77,78,77,0,0,0,0,0,0,0,0,0,0
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2014,0,,,0,75,75,74,74,67,68,64,59,0,0,0,0,0,0,0
010100860892,HENRY JOHNSON CHARTER SCHOOL,2015,0,0,0,0,81,79,68,80,81,0,0,0,0,0,0,0,0,0,0
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2015,0,0,0,0,75,74,76,76,75,65,69,66,67,0,0,0,0,0,0
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,111,88,79,66,0,0
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,125,118,90,45,0,0
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2014,0,,,0,0,0,0,0,0,0,0,0,0,111,98,79,67,0,0
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2014,0,,,0,0,0,0,0,0,0,0,0,0,125,108,82,57,0,0
010100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,2014,0,,,0,0,0,0,0,0,62,56,56,40,0,0,0,0,0,0
010100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,2014,0,,,0,0,0,0,0,0,59,64,60,37,0,0,0,0,0,0
010100860976,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR BOYS,2015,0,0,0,0,0,0,0,0,0,64,60,49,44,0,0,0,0,0,0
010100860977,BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,2015,0,0,0,0,0,0,0,0,0,47,66,65,43,0,0,0,0,0,0
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2015,31,31,0,0,55,52,59,61,61,58,54,70,66,72,62,69,78,2,1
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2015,0,0,0,0,0,0,0,0,0,0,0,70,66,72,62,69,78,1,1
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2014,30,,,0,59,64,58,60,57,57,71,68,79,71,71,78,57,1,4
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2014,0,,,0,0,0,0,0,0,0,0,68,79,71,71,78,57,0,4
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2014,0,,,0,59,64,58,60,57,57,71,0,0,0,0,0,0,1,0
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2014,0,,,0,268,300,314,315,345,345,389,386,419,386,430,377,393,11,24
010306060003,ELSMERE ELEMENTARY SCHOOL,2014,0,,,0,44,47,45,45,50,50,0,0,0,0,0,0,0,8,0
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2015,0,0,0,0,55,52,59,61,61,58,54,0,0,0,0,0,0,1,0
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2015,0,0,0,0,285,289,310,327,321,342,354,399,392,427,387,419,387,13,22
010306060003,ELSMERE ELEMENTARY SCHOOL,2015,0,0,0,0,43,41,49,43,44,47,0,0,0,0,0,0,0,11,0
010306060004,GLENMONT ELEMENTARY SCHOOL,2015,0,0,0,0,46,56,52,68,54,59,0,0,0,0,0,0,0,1,0
010306060004,GLENMONT ELEMENTARY SCHOOL,2014,0,,,0,47,53,61,54,60,64,0,0,0,0,0,0,0,0,0
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2014,0,,,0,46,59,51,61,75,59,0,0,0,0,0,0,0,0,0
