ENTITY_CD,ENTITY_NAME,YEAR,ATTENDANCE_RATE,NUM_SUSPENSIONS,PER_SUSPENSIONS
010306060004,GLENMONT ELEMENTARY SCHOOL,2014,97,1,0
010306060009,EAGLE ELEMENTARY SCHOOL,2013,97,0,0
010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2013,94,123,6
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2013,94,80,13
010402060002,ALBERTUS W BECKER SCHOOL,2013,95,6,1
010402060003,PIETER B COEYMANS SCHOOL,2013,94,13,3
010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,2013,96,24,5
010500010000,COHOES CITY SCHOOL DISTRICT,2013,93,152,8
010500010005,ABRAM LANSING SCHOOL,2013,94,1,0
010500010006,VAN SCHAICK ISLAND SCHOOL,2013,94,2,2
010500010007,COHOES HIGH SCHOOL,2013,89,67,12
010500010008,COHOES MIDDLE SCHOOL,2013,95,80,19
010500010009,HARMONY HILL SCHOOL,2013,95,2,1
010306060005,HAMAGRAEL ELEMENTARY SCHOOL,2014,97,1,0
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2014,95,1,0
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2014,97,19,2
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2014,95,59,4
010306060009,EAGLE ELEMENTARY SCHOOL,2014,97,0,0
010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2014,95,189,10
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2014,94,146,25
010402060002,ALBERTUS W BECKER SCHOOL,2014,96,8,2
010402060003,PIETER B COEYMANS SCHOOL,2014,95,12,3
010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,2014,95,23,5
010500010000,COHOES CITY SCHOOL DISTRICT,2014,93,161,8
010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2013,96,134,3
010601060003,ROESSLEVILLE SCHOOL,2013,96,2,1
010601060005,SADDLEWOOD ELEMENTARY SCHOOL,2013,96,0,0
010601060006,SHAKER ROAD ELEMENTARY SCHOOL,2013,98,0,0
010601060008,COLONIE CENTRAL HIGH SCHOOL,2013,95,33,2
010601060010,FOREST PARK ELEMENTARY SCHOOL,2013,97,2,1
010601060011,VEEDER ELEMENTARY SCHOOL,2013,97,1,0
010601060012,SAND CREEK MIDDLE SCHOOL,2013,97,55,7
010601060013,LISHA KILL MIDDLE SCHOOL,2013,97,41,6
010615020000,MENANDS UNION FREE SCHOOL DISTRICT,2013,96,9,3
010615020001,MENANDS SCHOOL,2013,97,9,3
010623060000,NORTH COLONIE CSD,2013,96,194,4
010500010005,ABRAM LANSING SCHOOL,2014,95,5,1
010500010006,VAN SCHAICK ISLAND SCHOOL,2014,95,2,1
010500010007,COHOES HIGH SCHOOL,2014,89,91,16
010500010008,COHOES MIDDLE SCHOOL,2014,95,58,14
010500010009,HARMONY HILL SCHOOL,2014,95,5,1
010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2014,96,134,3
010601060003,ROESSLEVILLE SCHOOL,2014,96,3,1
010601060005,SADDLEWOOD ELEMENTARY SCHOOL,2014,97,0,0
010601060006,SHAKER ROAD ELEMENTARY SCHOOL,2014,97,1,0
010601060008,COLONIE CENTRAL HIGH SCHOOL,2014,95,51,3
010601060010,FOREST PARK ELEMENTARY SCHOOL,2014,97,2,1
010601060011,VEEDER ELEMENTARY SCHOOL,2014,97,1,0
010623060002,BLUE CREEK SCHOOL,2013,97,0,0
010623060003,BOGHT HILLS SCHOOL,2013,96,0,0
010623060004,FORTS FERRY SCHOOL,2013,96,0,0
010623060006,LATHAM RIDGE SCHOOL,2013,96,3,1
010623060007,LOUDONVILLE SCHOOL,2013,97,1,0
010623060008,SOUTHGATE SCHOOL,2013,96,0,0
010623060009,SHAKER JUNIOR HIGH SCHOOL,2013,97,23,3
010623060010,SHAKER HIGH SCHOOL,2013,96,167,8
010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,2013,94,15,5
010701030001,HEATLY SCHOOL,2013,95,15,5
010802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT,2013,96,92,2
010802060001,ALTAMONT ELEMENTARY SCHOOL,2013,96,2,1
010802060003,GUILDERLAND ELEMENTARY SCHOOL,2013,97,1,0
010601060012,SAND CREEK MIDDLE SCHOOL,2014,96,33,4
010601060013,LISHA KILL MIDDLE SCHOOL,2014,97,43,7
010615020000,MENANDS UNION FREE SCHOOL DISTRICT,2014,98,5,2
010615020001,MENANDS SCHOOL,2014,97,5,2
010623060000,NORTH COLONIE CSD,2014,96,209,4
010623060002,BLUE CREEK SCHOOL,2014,96,6,1
010623060003,BOGHT HILLS SCHOOL,2014,97,0,0
010623060004,FORTS FERRY SCHOOL,2014,97,1,0
010623060006,LATHAM RIDGE SCHOOL,2014,97,5,1
010623060007,LOUDONVILLE SCHOOL,2014,97,0,0
010623060008,SOUTHGATE SCHOOL,2014,97,0,0
010623060009,SHAKER JUNIOR HIGH SCHOOL,2014,97,26,3
010623060010,SHAKER HIGH SCHOOL,2014,97,171,9
010802060004,WESTMERE ELEMENTARY SCHOOL,2013,97,2,0
010802060005,GUILDERLAND HIGH SCHOOL,2013,96,79,5
010802060007,LYNNWOOD ELEMENTARY SCHOOL,2013,97,0,0
010802060008,FARNSWORTH MIDDLE SCHOOL,2013,97,6,1
010802060009,PINE BUSH ELEMENTARY SCHOOL,2013,97,2,0
011003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,2013,96,17,1
011003060001,VOORHEESVILLE ELEMENTARY SCHOOL,2013,98,0,0
011003060002,CLAYTON A BOUTON HIGH SCHOOL,2013,96,14,4
011003060003,VOORHEESVILLE MIDDLE SCHOOL,2013,97,3,1
011200010000,WATERVLIET CITY SCHOOL DISTRICT,2013,94,101,8
011200010002,WATERVLIET ELEMENTARY SCHOOL,2013,95,10,1
011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,2013,92,91,14
020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,2013,96,1,0
020101040001,ALFRED-ALMOND ELEMENTARY SCHOOL,2013,96,0,0
020101040002,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,2013,96,1,0
020601040000,ANDOVER CENTRAL SCHOOL DISTRICT,2013,95,25,8
020601040001,ANDOVER SCHOOL,2013,96,25,8
020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,2013,96,50,9
020702040001,GENESEE VALLEY CENTRAL SCHOOL,2013,97,50,9
020801040000,BELFAST CENTRAL SCHOOL DISTRICT,2013,96,5,1
020801040001,BELFAST SCHOOL,2013,96,5,1
021102040000,CANASERAGA CENTRAL SCHOOL DISTRICT,2013,95,12,5
021102040001,CANASERAGA SCHOOL,2013,95,12,5
021601040000,FRIENDSHIP CENTRAL SCHOOL DISTRICT,2013,96,14,4
021601040004,FRIENDSHIP CENTRAL SCHOOL,2013,96,14,4
022001040000,FILLMORE CENTRAL SCHOOL DISTRICT,2013,95,8,1
022001040001,FILLMORE CENTRAL SCHOOL,2013,95,8,1
022101040000,WHITESVILLE CENTRAL SCHOOL DISTRICT,2013,96,9,4
022101040001,WHITESVILLE CENTRAL SCHOOL,2013,96,9,4
022302040000,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,2013,96,23,3
022302040001,CUBA-RUSHFORD HIGH SCHOOL,2013,0,9,3
022302040002,CUBA-RUSHFORD ELEMENTARY SCHOOL,2013,0,6,2
022302040004,CUBA-RUSHFORD MIDDLE SCHOOL,2013,0,8,4
022401040000,SCIO CENTRAL SCHOOL DISTRICT,2013,95,8,2
022401040003,SCIO CENTRAL SCHOOL,2013,95,8,2
022601060000,WELLSVILLE CENTRAL SCHOOL DISTRICT,2013,95,69,6
010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,2014,95,26,8
010701030001,HEATLY SCHOOL,2014,96,26,8
010802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT,2014,96,84,2
010802060001,ALTAMONT ELEMENTARY SCHOOL,2014,96,2,1
010802060003,GUILDERLAND ELEMENTARY SCHOOL,2014,97,1,0
010802060004,WESTMERE ELEMENTARY SCHOOL,2014,97,0,0
010802060005,GUILDERLAND HIGH SCHOOL,2014,96,70,4
010802060007,LYNNWOOD ELEMENTARY SCHOOL,2014,97,2,1
010802060008,FARNSWORTH MIDDLE SCHOOL,2014,97,9,1
010802060009,PINE BUSH ELEMENTARY SCHOOL,2014,97,0,0
022601060002,WELLSVILLE MIDDLE SCHOOL,2013,96,18,6
022601060004,WELLSVILLE SENIOR HIGH SCHOOL,2013,93,50,12
022601060005,WELLSVILLE ELEMENTARY SCHOOL,2013,96,1,0
022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,2013,93,15,2
022902040001,BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,2013,95,10,2
022902040002,BOLIVAR-RICHBURG ELEMENTARY SCHOOL,2013,95,5,1
030101060000,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,2013,96,51,3
030101060001,CHENANGO FORKS ELEMENTARY SCHOOL,2013,95,11,2
030101060003,CHENANGO FORKS HIGH SCHOOL,2013,96,31,7
030101060004,CHENANGO FORKS MIDDLE SCHOOL,2013,96,9,2
011003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,2014,96,18,2
011003060001,VOORHEESVILLE ELEMENTARY SCHOOL,2014,96,0,0
011003060002,CLAYTON A BOUTON HIGH SCHOOL,2014,96,17,4
011003060003,VOORHEESVILLE MIDDLE SCHOOL,2014,98,1,0
011200010000,WATERVLIET CITY SCHOOL DISTRICT,2014,94,54,4
011200010002,WATERVLIET ELEMENTARY SCHOOL,2014,95,7,1
011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,2014,93,47,8
020101040000,ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,2014,97,4,1
020101040001,ALFRED-ALMOND ELEMENTARY SCHOOL,2014,96,0,0
020101040002,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,2014,97,4,1
020601040000,ANDOVER CENTRAL SCHOOL DISTRICT,2014,95,14,5
020601040001,ANDOVER SCHOOL,2014,96,14,5
030200010000,BINGHAMTON CITY SCHOOL DISTRICT,2013,91,646,11
030200010002,CALVIN COOLIDGE SCHOOL,2013,94,7,2
030200010005,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2013,92,46,9
030200010008,THOMAS JEFFERSON SCHOOL,2013,94,12,3
030200010011,MACARTHUR SCHOOL,2013,92,46,11
030200010012,THEODORE ROOSEVELT SCHOOL,2013,93,11,3
030200010014,WOODROW WILSON SCHOOL,2013,92,16,4
030200010015,EAST MIDDLE SCHOOL,2013,92,179,30
030200010016,WEST MIDDLE SCHOOL,2013,93,146,21
030200010021,BINGHAMTON HIGH SCHOOL,2013,89,163,11
030200010022,HORACE MANN SCHOOL,2013,91,20,5
030501040000,HARPURSVILLE CENTRAL SCHOOL DISTRICT,2013,95,67,8
030501040001,W A OLMSTED ELEMENTARY SCHOOL,2013,95,25,6
020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,2014,96,44,8
020702040001,GENESEE VALLEY CENTRAL SCHOOL,2014,96,44,8
020801040000,BELFAST CENTRAL SCHOOL DISTRICT,2014,97,4,1
020801040001,BELFAST SCHOOL,2014,97,4,1
021102040000,CANASERAGA CENTRAL SCHOOL DISTRICT,2014,95,12,6
021102040001,CANASERAGA SCHOOL,2014,95,12,6
021601040000,FRIENDSHIP CENTRAL SCHOOL DISTRICT,2014,95,27,8
021601040004,FRIENDSHIP CENTRAL SCHOOL,2014,95,27,8
022001040000,FILLMORE CENTRAL SCHOOL DISTRICT,2014,95,5,1
022001040001,FILLMORE CENTRAL SCHOOL,2014,95,5,1
022101040000,WHITESVILLE CENTRAL SCHOOL DISTRICT,2014,97,4,2
030501040003,HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,2013,95,42,11
030601060000,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,2013,94,56,3
030601060001,BROOKSIDE ELEMENTARY SCHOOL,2013,95,3,1
030601060004,F P DONNELLY SCHOOL,2013,95,7,3
030601060005,RICHARD T STANK MIDDLE SCHOOL,2013,95,16,4
030601060006,SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL,2013,92,30,5
030701060000,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,2013,95,40,2
030701060001,CHENANGO VALLEY HIGH SCHOOL,2013,93,25,5
030701060003,CHENANGO BRIDGE ELEMENTARY SCHOOL,2013,96,3,1
030701060004,PORT DICKINSON ELEMENTARY SCHOOL,2013,92,3,1
030701060005,CHENANGO VALLEY MIDDLE SCHOOL,2013,96,9,3
031101060000,MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,2013,95,71,3
031101060003,HOMER BRINK SCHOOL,2013,96,6,1
022101040001,WHITESVILLE CENTRAL SCHOOL,2014,97,4,2
022302040000,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,2014,95,20,2
022302040001,CUBA-RUSHFORD HIGH SCHOOL,2014,96,13,5
022302040002,CUBA-RUSHFORD ELEMENTARY SCHOOL,2014,95,3,1
022302040004,CUBA-RUSHFORD MIDDLE SCHOOL,2014,96,4,2
022401040000,SCIO CENTRAL SCHOOL DISTRICT,2014,94,13,4
022401040003,SCIO CENTRAL SCHOOL,2014,95,13,4
022601060000,WELLSVILLE CENTRAL SCHOOL DISTRICT,2014,96,64,5
022601060002,WELLSVILLE MIDDLE SCHOOL,2014,96,11,4
022601060004,WELLSVILLE SENIOR HIGH SCHOOL,2014,94,49,13
031101060004,MAINE MEMORIAL SCHOOL,2013,96,7,2
031101060005,MAINE-ENDWELL MIDDLE SCHOOL,2013,95,21,4
031101060006,MAINE-ENDWELL SENIOR HIGH SCHOOL,2013,94,37,5
031301040000,DEPOSIT CENTRAL SCHOOL DISTRICT,2013,95,42,8
031301040002,DEPOSIT ELEMENTARY SCHOOL,2013,94,9,3
031301040003,DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,2013,96,33,13
031401060000,WHITNEY POINT CENTRAL SCHOOL DISTRICT,2013,93,52,4
031401060002,TIOUGHNIOGA RIVERSIDE ACADEMY,2013,95,5,1
031401060004,WHITNEY POINT SENIOR HIGH SCHOOL,2013,91,41,9
031401060005,CARYL E ADAMS PRIMARY SCHOOL,2013,94,6,1
031501060000,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,2013,95,207,5
031501060001,CHARLES F JOHNSON JR ELEMENTARY SCHOOL,2013,95,5,1
022601060005,WELLSVILLE ELEMENTARY SCHOOL,2014,96,4,1
022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,2014,94,11,1
022902040001,BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,2014,94,9,2
022902040002,BOLIVAR-RICHBURG ELEMENTARY SCHOOL,2014,95,2,1
022902040003,BOLIVAR-RICHBURG PRE-K PROGRAM,2014,85,0,0
030101060000,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,2014,95,17,1
030101060001,CHENANGO FORKS ELEMENTARY SCHOOL,2014,96,6,1
030101060003,CHENANGO FORKS HIGH SCHOOL,2014,94,6,1
030101060004,CHENANGO FORKS MIDDLE SCHOOL,2014,94,5,1
030200010000,BINGHAMTON CITY SCHOOL DISTRICT,2014,91,619,11
030200010002,CALVIN COOLIDGE SCHOOL,2014,93,15,5
031501060002,GEORGE F JOHNSON ELEMENTARY SCHOOL,2013,96,9,1
031501060009,JENNIE F SNAPP MIDDLE SCHOOL,2013,95,46,5
031501060012,UNION-ENDICOTT HIGH SCHOOL,2013,94,131,10
031501060013,THOMAS J WATSON SR ELEMENTARY SCHOOL,2013,95,7,2
031501060014,ANN G MCGUINNESS ELEMENTAR SCHOOL,2013,96,9,2
031502060000,JOHNSON CITY CENTRAL SCHOOL DISTRICT,2013,93,263,10
031502060001,JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL,2013,95,125,22
031502060003,JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL,2013,94,5,1
031502060005,JOHNSON CITY MIDDLE SCHOOL,2013,94,53,9
031502060006,JOHNSON CITY SENIOR HIGH SCHOOL,2013,92,80,10
031601060000,VESTAL CENTRAL SCHOOL DISTRICT,2013,95,82,2
030200010005,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2014,96,29,6
030200010008,THOMAS JEFFERSON SCHOOL,2014,93,4,1
030200010011,MACARTHUR SCHOOL,2014,96,41,9
030200010012,THEODORE ROOSEVELT SCHOOL,2014,91,21,5
030200010014,WOODROW WILSON SCHOOL,2014,89,30,7
030200010015,EAST MIDDLE SCHOOL,2014,93,135,22
030200010016,WEST MIDDLE SCHOOL,2014,90,132,20
030200010021,BINGHAMTON HIGH SCHOOL,2014,89,201,13
030200010022,HORACE MANN SCHOOL,2014,91,11,3
030501040000,HARPURSVILLE CENTRAL SCHOOL DISTRICT,2014,95,52,6
030501040001,W A OLMSTED ELEMENTARY SCHOOL,2014,95,30,7
030501040003,HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,2014,95,22,6
031601060021,AFRICAN ROAD ELEMENTARY SCHOOL,2013,95,2,1
031601060022,CLAYTON AVENUE ELEMENTARY SCHOOL,2013,95,6,2
031601060023,GLENWOOD ELEMENTARY SCHOOL,2013,95,3,1
031601060026,TIOGA HILLS ELEMENTARY SCHOOL,2013,96,0,0
031601060028,VESTAL HILLS ELEMENTARY SCHOOL,2013,96,0,0
031601060041,VESTAL MIDDLE SCHOOL,2013,96,7,1
031601060051,VESTAL SENIOR HIGH SCHOOL,2013,95,64,6
031701060000,WINDSOR CENTRAL SCHOOL DISTRICT,2013,96,81,5
031701060002,FLOYD BELL ELEMENTARY SCHOOL,2013,96,3,1
031701060003,C R WEEKS ELEMENTARY SCHOOL,2013,95,8,3
030601060000,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,2014,94,44,3
030601060001,BROOKSIDE ELEMENTARY SCHOOL,2014,96,3,1
030601060004,F P DONNELLY SCHOOL,2014,95,10,4
030601060005,RICHARD T STANK MIDDLE SCHOOL,2014,95,17,4
030601060006,SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL,2014,92,14,3
030701060000,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,2014,95,56,3
030701060001,CHENANGO VALLEY HIGH SCHOOL,2014,94,48,9
030701060003,CHENANGO BRIDGE ELEMENTARY SCHOOL,2014,96,1,0
030701060004,PORT DICKINSON ELEMENTARY SCHOOL,2014,95,2,0
030701060005,CHENANGO VALLEY MIDDLE SCHOOL,2014,96,5,2
031101060000,MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,2014,95,67,3
031101060003,HOMER BRINK SCHOOL,2014,96,9,1
031101060004,MAINE MEMORIAL SCHOOL,2014,96,7,2
031701060004,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,2013,97,23,4
031701060007,WINDSOR CENTRAL HIGH SCHOOL,2013,96,47,8
040204040000,WEST VALLEY CENTRAL SCHOOL DISTRICT,2013,96,7,2
040204040001,WEST VALLEY CENTRAL SCHOOL,2013,96,7,2
031101060005,MAINE-ENDWELL MIDDLE SCHOOL,2014,96,16,3
031101060006,MAINE-ENDWELL SENIOR HIGH SCHOOL,2014,94,35,5
031301040000,DEPOSIT CENTRAL SCHOOL DISTRICT,2014,95,33,6
031301040002,DEPOSIT ELEMENTARY SCHOOL,2014,94,5,2
031301040003,DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,2014,95,28,11
031401060000,WHITNEY POINT CENTRAL SCHOOL DISTRICT,2014,94,62,4
031401060002,TIOUGHNIOGA RIVERSIDE ACADEMY,2014,95,12,2
031401060004,WHITNEY POINT SENIOR HIGH SCHOOL,2014,91,49,11
031401060005,CARYL E ADAMS PRIMARY SCHOOL,2014,94,1,0
031501060000,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,2014,95,134,4
031501060001,CHARLES F JOHNSON JR ELEMENTARY SCHOOL,2014,95,9,2
031501060002,GEORGE F JOHNSON ELEMENTARY SCHOOL,2014,96,14,2
031501060009,JENNIE F SNAPP MIDDLE SCHOOL,2014,95,51,6
031501060012,UNION-ENDICOTT HIGH SCHOOL,2014,94,51,4
031501060013,THOMAS J WATSON SR ELEMENTARY SCHOOL,2014,94,4,1
031501060014,ANN G MCGUINNESS ELEMENTAR SCHOOL,2014,97,5,1
031502060000,JOHNSON CITY CENTRAL SCHOOL DISTRICT,2014,93,208,8
031502060001,JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL,2014,95,46,8
040302060000,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,2013,96,43,4
040302060001,ALLEGANY-LIMESTONE HIGH SCHOOL,2013,96,20,5
040302060002,ALLEGANY-LIMESTONE ELEMENTARY SCHOOL,2013,96,1,0
040302060004,ALLEGANY-LIMESTONE MIDDLE SCHOOL,2013,96,22,8
040901040000,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,2013,96,12,2
040901040001,ELLICOTTVILLE ELEMENTARY SCHOOL,2013,96,2,1
040901040002,ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL,2013,96,10,3
041101040000,FRANKLINVILLE CENTRAL SCHOOL DISTRICT,2013,96,5,1
041101040002,FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,2013,96,3,1
041101040003,FRANKLINVILLE ELEMENTARY SCHOOL,2013,95,2,1
041401040000,HINSDALE CENTRAL SCHOOL DISTRICT,2013,95,17,4
041401040001,HINSDALE CENTRAL SCHOOL,2013,95,17,4
042302040000,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,2013,95,31,3
042302040002,CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL,2013,95,1,0
042302040003,CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL,2013,94,21,7
042302040004,CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL,2013,95,9,3
042400010000,OLEAN CITY SCHOOL DISTRICT,2013,95,120,6
042400010002,WASHINGTON WEST ELEMENTARY SCHOOL,2013,94,1,0
